gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000172466.15,325.8905534,278.0133455,47.87720782,230.1361377,72
ENSG00000168710.17,325.6950461,183.4422445,142.2528016,41.18944287,72
ENSG00000083520.14,324.5085158,220.2615347,104.2469812,116.0145535,72
ENSG00000113194.12,324.4079221,245.8563233,78.55159885,167.3047244,72
ENSG00000136100.12,324.3758685,180.8867497,143.4891188,37.39763092,72
ENSG00000113384.13,323.8057801,257.7257293,66.08005076,191.6456786,72
ENSG00000198492.15,322.612107,166.7838116,155.8282954,10.95551625,34
ENSG00000136381.12,322.3526231,231.7628184,90.58980465,141.1730138,72
ENSG00000117751.17,321.7121836,194.0696617,127.6425219,66.42713977,72
ENSG00000107897.18,321.4054937,209.7266818,111.6788119,98.04786989,72
ENSG00000075856.11,320.7481914,290.1028012,30.64539027,259.4574109,34
ENSG00000176390.11,320.6821368,288.247989,32.43414785,255.8138411,72
ENSG00000153147.5,320.3440984,202.5584579,117.7856405,84.77281748,72
ENSG00000009335.17,319.7934156,137.9829191,181.8104965,-43.82757748,34
ENSG00000103978.15,319.4278864,218.1081864,101.3196999,116.7884865,72
ENSG00000119392.14,318.9841786,216.565591,102.4185876,114.1470034,72
ENSG00000162695.11,318.6956448,208.0826958,110.612949,97.46974674,72
ENSG00000090686.15,318.3126145,184.7833901,133.5292244,51.25416568,72
ENSG00000119541.9,317.8735487,304.0057487,13.86780005,290.1379486,72
ENSG00000160679.12,317.5702911,214.924764,102.6455271,112.2792368,72
ENSG00000152683.14,317.1178554,258.889816,58.2280394,200.6617766,72
ENSG00000111596.11,316.9015613,250.249914,66.65164729,183.5982667,34
ENSG00000175387.15,316.8316916,215.7278406,101.103851,114.6239896,72
ENSG00000139436.20,315.6316544,293.2393481,22.39230627,270.8470418,72
ENSG00000164944.11,315.6291658,237.0819565,78.54720928,158.5347472,72
ENSG00000124209.3,315.3224854,257.3100839,58.01240145,199.2976825,72
ENSG00000143337.18,315.281208,300.1521933,15.1290147,285.0231786,72
ENSG00000112855.14,314.6722786,239.8580692,74.81420931,165.0438599,72
ENSG00000168522.12,314.4280566,171.2303575,143.1976991,28.03265839,72
ENSG00000145782.12,314.2913153,241.8917455,72.39956983,169.4921757,72
ENSG00000164074.14,314.2737609,248.8193108,65.45445011,183.3648606,72
ENSG00000127314.17,314.0283849,222.0542759,91.97410901,130.0801669,72
ENSG00000108094.14,313.7107946,221.4362132,92.27458144,129.1616317,72
ENSG00000180957.17,313.5988475,191.8136172,121.7852304,70.02838677,34
ENSG00000078140.13,313.0829849,256.3218098,56.76117505,199.5606348,72
ENSG00000197771.12,312.989305,287.7159217,25.27338331,262.4425384,72
ENSG00000107651.12,312.9810412,191.0070629,121.9739783,69.03308455,34
ENSG00000118873.15,312.3153217,247.6870139,64.62830775,183.0587062,72
