File_name,Source,Variance(value),SE
X.ENSG00000000419.12.hsq,V(G)/Vp,0.031755,0.046247
X.ENSG00000000457.13.hsq,V(G)/Vp,0.091485,0.054011
X.ENSG00000000938.12.hsq,V(G)/Vp,0.000001,0.052774
X.ENSG00000002834.17.hsq,V(G)/Vp,0.026815,0.042692
X.ENSG00000002919.14.hsq,V(G)/Vp,0.006089,0.046305
X.ENSG00000003400.14.hsq,V(G)/Vp,0.081373,0.065733
X.ENSG00000003402.19.hsq,V(G)/Vp,0.000001,0.051256
X.ENSG00000003509.15.hsq,V(G)/Vp,0.000001,0.044347
X.ENSG00000003756.16.hsq,V(G)/Vp,0.000001,0.045866
X.ENSG00000004059.10.hsq,V(G)/Vp,0.027379,0.040567
X.ENSG00000004660.14.hsq,V(G)/Vp,0.017296,0.036510
X.ENSG00000004700.15.hsq,V(G)/Vp,0.076779,0.061462
X.ENSG00000005007.12.hsq,V(G)/Vp,0.011647,0.046222
X.ENSG00000005020.12.hsq,V(G)/Vp,0.101675,0.054828
X.ENSG00000005075.15.hsq,V(G)/Vp,0.000001,0.040574
X.ENSG00000005175.9.hsq,V(G)/Vp,0.072646,0.050266
X.ENSG00000005238.19.hsq,V(G)/Vp,0.000001,0.055901
X.ENSG00000005339.14.hsq,V(G)/Vp,0.000001,0.057535
X.ENSG00000005812.10.hsq,V(G)/Vp,0.063358,0.054868
X.ENSG00000006007.11.hsq,V(G)/Vp,0.053292,0.057946
X.ENSG00000006715.15.hsq,V(G)/Vp,0.073966,0.054227
X.ENSG00000007237.18.hsq,V(G)/Vp,0.024648,0.041462
X.ENSG00000007944.14.hsq,V(G)/Vp,0.000001,0.060958
X.ENSG00000008130.15.hsq,V(G)/Vp,0.013671,0.039073
X.ENSG00000008282.8.hsq,V(G)/Vp,0.004667,0.050211
X.ENSG00000008516.16.hsq,V(G)/Vp,0.002340,0.033020
X.ENSG00000008869.11.hsq,V(G)/Vp,0.134091,0.068946
X.ENSG00000008952.16.hsq,V(G)/Vp,0.000001,0.050894
X.ENSG00000009307.15.hsq,V(G)/Vp,0.114713,0.076024
X.ENSG00000009844.15.hsq,V(G)/Vp,0.071553,0.055230
X.ENSG00000010017.12.hsq,V(G)/Vp,0.064398,0.058063
X.ENSG00000010072.15.hsq,V(G)/Vp,0.011856,0.038779
X.ENSG00000010270.13.hsq,V(G)/Vp,0.017858,0.045248
X.ENSG00000010539.11.hsq,V(G)/Vp,0.054512,0.056573
X.ENSG00000011114.14.hsq,V(G)/Vp,0.001720,0.046184
