File_name,Source,Variance(value),SE
X.ENSG00000051180.16.hsq,V(G)/Vp,0.000001,0.051092
X.ENSG00000073111.13.hsq,V(G)/Vp,0.055842,0.054557
X.ENSG00000075218.18.hsq,V(G)/Vp,0.040364,0.053763
X.ENSG00000076382.16.hsq,V(G)/Vp,0.000001,0.047187
X.ENSG00000077152.9.hsq,V(G)/Vp,0.000001,0.045734
X.ENSG00000080986.12.hsq,V(G)/Vp,0.000001,0.057303
X.ENSG00000085840.12.hsq,V(G)/Vp,0.001604,0.029943
X.ENSG00000087586.17.hsq,V(G)/Vp,0.020227,0.040735
X.ENSG00000088325.15.hsq,V(G)/Vp,0.005624,0.043575
X.ENSG00000089685.14.hsq,V(G)/Vp,0.000001,0.047636
X.ENSG00000092470.11.hsq,V(G)/Vp,0.044942,0.056343
X.ENSG00000093009.9.hsq,V(G)/Vp,0.000001,0.060094
X.ENSG00000100162.14.hsq,V(G)/Vp,0.109448,0.070381
X.ENSG00000100526.19.hsq,V(G)/Vp,0.001139,0.031983
X.ENSG00000101057.15.hsq,V(G)/Vp,0.112715,0.070518
X.ENSG00000104738.16.hsq,V(G)/Vp,0.044481,0.052468
X.ENSG00000105173.13.hsq,V(G)/Vp,0.046870,0.053333
X.ENSG00000106462.10.hsq,V(G)/Vp,0.050360,0.058309
X.ENSG00000109685.17.hsq,V(G)/Vp,0.009005,0.046434
X.ENSG00000109805.9.hsq,V(G)/Vp,0.000001,0.047305
X.ENSG00000111206.12.hsq,V(G)/Vp,0.000001,0.039332
X.ENSG00000112984.11.hsq,V(G)/Vp,0.014419,0.040692
X.ENSG00000117399.13.hsq,V(G)/Vp,0.056524,0.049157
X.ENSG00000117632.22.hsq,V(G)/Vp,0.000001,0.052549
X.ENSG00000121152.9.hsq,V(G)/Vp,0.000560,0.045101
X.ENSG00000122952.16.hsq,V(G)/Vp,0.000001,0.030919
X.ENSG00000123485.11.hsq,V(G)/Vp,0.000001,0.037713
X.ENSG00000126787.12.hsq,V(G)/Vp,0.000001,0.041949
X.ENSG00000127564.16.hsq,V(G)/Vp,0.000001,0.032720
X.ENSG00000131153.8.hsq,V(G)/Vp,0.052291,0.063545
X.ENSG00000131747.14.hsq,V(G)/Vp,0.000001,0.035268
X.ENSG00000134057.14.hsq,V(G)/Vp,0.000001,0.047530
X.ENSG00000134690.10.hsq,V(G)/Vp,0.008638,0.039077
X.ENSG00000135451.12.hsq,V(G)/Vp,0.016553,0.039025
X.ENSG00000137310.11.hsq,V(G)/Vp,0.000001,0.030831
X.ENSG00000137804.12.hsq,V(G)/Vp,0.000001,0.036223
X.ENSG00000138160.5.hsq,V(G)/Vp,0.017550,0.046720
X.ENSG00000140525.17.hsq,V(G)/Vp,0.000879,0.035071
X.ENSG00000142945.12.hsq,V(G)/Vp,0.022196,0.042994
X.ENSG00000144354.13.hsq,V(G)/Vp,0.031122,0.049905
X.ENSG00000145386.9.hsq,V(G)/Vp,0.019953,0.044472
X.ENSG00000146670.9.hsq,V(G)/Vp,0.060005,0.058859
X.ENSG00000146918.19.hsq,V(G)/Vp,0.037494,0.058649
X.ENSG00000148773.13.hsq,V(G)/Vp,0.000001,0.041655
X.ENSG00000149503.12.hsq,V(G)/Vp,0.029714,0.056249
X.ENSG00000151503.12.hsq,V(G)/Vp,0.062922,0.065118
X.ENSG00000153044.9.hsq,V(G)/Vp,0.019237,0.048917
X.ENSG00000156802.12.hsq,V(G)/Vp,0.033923,0.056998
X.ENSG00000157456.7.hsq,V(G)/Vp,0.000001,0.034312
X.ENSG00000160957.12.hsq,V(G)/Vp,0.000001,0.051327
X.ENSG00000161800.12.hsq,V(G)/Vp,0.000001,0.057633
X.ENSG00000161888.11.hsq,V(G)/Vp,0.000001,0.034962
X.ENSG00000162063.12.hsq,V(G)/Vp,0.008195,0.053372
X.ENSG00000164611.12.hsq,V(G)/Vp,0.000001,0.049589
X.ENSG00000166851.14.hsq,V(G)/Vp,0.000001,0.058631
X.ENSG00000167325.14.hsq,V(G)/Vp,0.000001,0.050391
X.ENSG00000167513.8.hsq,V(G)/Vp,0.017573,0.042531
X.ENSG00000167670.15.hsq,V(G)/Vp,0.015072,0.066141
X.ENSG00000167900.11.hsq,V(G)/Vp,0.000001,0.051869
X.ENSG00000169679.14.hsq,V(G)/Vp,0.010891,0.052111
X.ENSG00000170312.15.hsq,V(G)/Vp,0.042431,0.051614
X.ENSG00000171848.13.hsq,V(G)/Vp,0.000001,0.046485
X.ENSG00000173207.12.hsq,V(G)/Vp,0.007201,0.040988
X.ENSG00000176890.15.hsq,V(G)/Vp,0.000001,0.054387
X.ENSG00000178999.12.hsq,V(G)/Vp,0.047855,0.066408
X.ENSG00000186185.13.hsq,V(G)/Vp,0.000001,0.045727
X.ENSG00000198901.13.hsq,V(G)/Vp,0.009615,0.029802
X.ENSG00000237649.7.hsq,V(G)/Vp,0.000001,0.025839
