File_name,Source,Variance(value),SE
X.ENSG00000091583.10.hsq,V(G)/Vp,0.046465,0.045016
X.ENSG00000104760.16.hsq,V(G)/Vp,0.000001,0.034080
X.ENSG00000105398.3.hsq,V(G)/Vp,0.000001,0.051974
X.ENSG00000106927.11.hsq,V(G)/Vp,0.025510,0.048654
X.ENSG00000109072.13.hsq,V(G)/Vp,0.022246,0.054605
X.ENSG00000110245.11.hsq,V(G)/Vp,0.019048,0.037349
X.ENSG00000113905.4.hsq,V(G)/Vp,0.001655,0.043152
X.ENSG00000118137.9.hsq,V(G)/Vp,0.050869,0.052963
X.ENSG00000118271.9.hsq,V(G)/Vp,0.006087,0.032288
X.ENSG00000130208.9.hsq,V(G)/Vp,0.028224,0.041937
X.ENSG00000130649.9.hsq,V(G)/Vp,0.033035,0.061513
X.ENSG00000132703.3.hsq,V(G)/Vp,0.000001,0.033085
X.ENSG00000136872.17.hsq,V(G)/Vp,0.000001,0.044615
X.ENSG00000138207.13.hsq,V(G)/Vp,0.083811,0.061381
X.ENSG00000145192.12.hsq,V(G)/Vp,0.005351,0.051651
X.ENSG00000145321.12.hsq,V(G)/Vp,0.000564,0.022424
X.ENSG00000148965.9.hsq,V(G)/Vp,0.015010,0.042270
X.ENSG00000158874.11.hsq,V(G)/Vp,0.024380,0.034869
X.ENSG00000160868.14.hsq,V(G)/Vp,0.007328,0.044667
X.ENSG00000163586.9.hsq,V(G)/Vp,0.000001,0.041377
X.ENSG00000163631.16.hsq,V(G)/Vp,0.032789,0.034838
X.ENSG00000165828.14.hsq,V(G)/Vp,0.000001,0.061802
X.ENSG00000171557.16.hsq,V(G)/Vp,0.008230,0.029479
X.ENSG00000171560.14.hsq,V(G)/Vp,0.000001,0.029094
X.ENSG00000171564.11.hsq,V(G)/Vp,0.004693,0.030536
X.ENSG00000172482.4.hsq,V(G)/Vp,0.000001,0.042304
X.ENSG00000187758.7.hsq,V(G)/Vp,0.000001,0.032800
X.ENSG00000198099.8.hsq,V(G)/Vp,0.005063,0.030733
X.ENSG00000234906.9.hsq,V(G)/Vp,0.014580,0.041759
X.ENSG00000243955.5.hsq,V(G)/Vp,0.000001,0.037792
X.ENSG00000248144.5.hsq,V(G)/Vp,0.001918,0.032257
