X,X_apo
0.040854,1e-06
0.054246,0.055624
0.091637,1e-06
0.014457,0.033558
0.028229,0.254605
0.161559,0.052981
0.094207,0.146369
0.116463,0.064313
0.072994,0.060835
0.062777,0.034167
0.162418,0.129293
0.175974,0.023217
0.079977,0.049947
0.112393,0.080551
0.096051,0.032328
0.121578,0.025654
1e-06,0.134461
0.018062,0.096141
0.133117,0.112071
0.061111,0.104998
0.093205,0.096557
0.092517,0.034612
0.121616,0.165923
0.153489,0.174875
0.056971,0.056509
0.148445,0.13626
1e-06,0.088925
0.011913,0.121407
0.037819,1e-06
1e-06,0.015194
0.090761,0.122323
0.09748,0.080416
0.178059,0.088742
0.267713,0.048447
0.09112,0.102765
0.04167,0.088775
1e-06,0.160213
0.166307,0.044249
0.043748,0.164035
0.047713,1e-06
0.02495,0.005363
0.149532,0.075079
1e-06,1e-06
0.138333,0.06909
0.067326,0.076343
0.00974,0.176425
0.099183,0.031596
0.057285,0.119652
0.013679,0.079104
0.038769,0.058619
0.039872,1e-06
0.127134,0.11816
0.024765,0.086282
0.113025,0.046643
1e-06,0.024448
0.129578,0.144346
0.172613,0.000993
0.06287,0.132713
0.089238,0.05231
0.095274,0.041211
0.125585,0.056047
0.059026,0.210466
0.029159,0.038777
0.163381,0.007117
1e-06,0.028527
0.142382,0.023562
0.095543,0.072752
0.212903,0.004463
0.117075,0.103837
0.10969,1e-06
0.079537,0.139117
0.077426,0.084174
0.133458,0.051759
0.046331,0.091983
0.16666,0.08489
0.03276,0.126921
0.145878,0.062892
0.039497,0.020296
0.067766,0.161374
0.167402,1e-06
0.067738,0.128524
0.088208,0.07545
0.10168,0.215319
0.06659,0.070439
0.076784,0.121519
0.080236,0.102537
1e-06,0.071279
0.137085,0.089717
0.039075,0.033421
0.089352,0.173963
1e-06,0.032948
0.190724,0.148314
0.079377,0.023446
0.03364,0.081793
0.193306,0.087971
0.050487,0.069443
1e-06,0.063561
1e-06,0.11372
0.052867,0.02523
0.141525,0.084013
0.09101,0.076919
0.174919,0.061448
0.058314,0.000366
1e-06,0.12317
0.034191,0.032035
0.058482,0.04689
0.118547,1e-06
1e-06,0.170394
1e-06,0.021064
0.015318,0.157979
0.10313,0.064769
0.079977,1e-06
1e-06,0.001709
0.118867,0.043837
0.091977,0.118807
0.056879,0.010681
0.021917,0.079321
0.068764,0.165108
0.064857,0.066004
1e-06,1e-06
0.017128,0.045408
0.079183,0.071525
0.104911,0.081791
0.049596,1e-06
0.127451,1e-06
1e-06,0.028592
1e-06,0.085354
0.122246,0.074037
0.056987,0.00612
0.031684,0.120989
0.067358,0.132839
0.081195,0.080725
0.04836,0.09345
0.073134,0.021746
0.137519,0.081008
0.053416,0.047136
0.082883,1e-06
0.022104,0.01105
0.047475,0.065181
0.117051,0.109946
0.118372,0.036345
0.114922,0.000302
0.064241,1e-06
0.126252,1e-06
0.066557,0.088853
0.026274,0.074507
0.179819,0.034517
0.074411,0.057709
0.036279,0.103057
0.007002,0.03657
0.047489,0.08
0.146118,0.109072
0.001421,0.039655
0.079551,0.049716
1e-06,0.034078
0.065984,0.041822
0.11917,0.108619
0.152424,0.102075
1e-06,0.101649
0.065157,0.048535
0.045734,0.120465
0.020541,0.056986
0.056634,0.027479
0.091352,0.126315
0.017693,0.058534
0.125731,0.060708
0.055806,0.009049
0.007113,0.027374
1e-06,0.159957
0.19543,1e-06
0.127085,0.09494
0.035746,0.002969
0.046347,0.050542
1e-06,0.087558
0.028989,0.134119
1e-06,1e-06
0.05018,0.063668
1e-06,0.034481
0.065437,0.009874
0.066093,0.051978
0.155061,0.076862
0.078578,0.019754
0.148893,0.050026
0.066999,0.135102
0.056293,0.058621
0.151343,1e-06
0.036367,1e-06
0.072005,0.123166
0.092655,0.147331
0.091432,0.041309
0.257702,0.018493
0.126783,0.005259
0.115434,0.05454
0.11311,1e-06
0.116501,0.054247
0.041072,1e-06
0.047367,0.082906
0.084207,0.064106
0.084627,0.097156
0.068221,0.166547
0.026199,0.083751
0.079091,0.153504
1e-06,0.049137
0.028651,0.037748
0.078384,0.148583
0.106493,0.028151
0.021973,0.052556
0.02861,0.085254
0.130457,0.06727
1e-06,0.246981
0.031849,0.077609
0.081298,0.136825
0.227652,0.102864
0.104992,0.12521
0.053009,0.113336
0.081339,0.035549
0.05215,0.058326
0.107554,0.063921
0.05591,0.070672
0.159017,0.048651
0.095739,0.040163
0.090347,0.054258
0.08667,1e-06
0.143015,0.033887
0.21783,0.07916
0.128374,0.075642
0.107684,0.128712
0.084582,0.019781
0.012567,0.053876
0.085331,0.158246
0.005623,1e-06
0.065312,0.025405
0.11836,0.074861
0.04128,0.216326
0.026125,0.086605
0.1564,0.04829
0.103342,0.072817
0.036676,0.065561
0.147799,0.090257
0.132925,0.052069
0.05943,0.162201
1e-06,0.112121
0.07587,0.056475
0.004453,0.101545
0.112848,0.141334
0.144854,0.229501
1e-06,0.138399
1e-06,0.068265
0.030074,0.057178
0.083835,0.016615
0.126253,0.083218
0.168657,0.114564
0.175593,0.002141
0.011478,0.077406
0.037944,0.098841
0.069504,0.022075
0.159918,0.005814
0.111528,0.147387
0.066622,0.095841
0.057362,0.034031
0.182222,0.14098
0.069988,0.114503
0.113631,0.038001
1e-06,0.014338
0.191755,0.073901
0.013981,1e-06
0.097916,0.106433
0.069636,0.128595
0.069226,0.013091
0.114218,1e-06
0.10749,0.025144
0.052845,0.07316
0.164005,0.106348
0.12234,0.127096
1e-06,0.159461
0.03691,0.066142
0.155822,0.035853
0.072596,0.064341
0.116011,0.047248
0.028221,0.136209
0.131192,0.11924
0.016682,0.059728
0.044035,0.047081
0.089673,0.181078
0.054961,0.077386
0.067022,0.110195
0.225042,1e-06
0.017545,0.065169
0.037541,0.012006
0.017403,0.107294
0.107067,0.058013
0.011243,0.081052
0.019936,0.15787
0.056154,0.056062
0.027737,0.057416
0.042331,0.144155
0.045903,0.11403
0.099142,1e-06
0.08534,0.027995
0.116126,0.149384
0.000814,0.074801
0.119136,0.070779
0.160771,0.024766
1e-06,0.136243
0.215435,0.035627
0.022637,0.055731
0.007929,0.085947
1e-06,0.041885
0.190634,0.060836
0.079019,0.217735
0.077513,0.025866
0.024035,0.054157
0.035069,0.017614
0.094207,0.09443
0.103245,0.013831
0.056903,0.025538
0.032528,0.057966
0.106131,0.037283
0.057846,0.052039
1e-06,0.032377
0.183107,0.078227
0.059261,0.090054
0.100666,0.067488
0.077963,1e-06
0.125428,0.090485
0.148661,0.13874
0.122752,1e-06
0.125513,0.171539
0.153249,0.036986
1e-06,0.013607
0.149957,1e-06
0.03958,0.161344
0.004772,0.049547
1e-06,0.042542
1e-06,0.035246
0.022876,0.034396
0.144725,0.095374
0.01277,0.075145
0.047963,0.032306
0.019001,0.035142
0.04295,0.096986
0.078271,0.056093
1e-06,1e-06
0.073506,0.152588
0.085001,0.051491
0.019829,0.018664
0.140046,0.098514
0.11622,0.05931
1e-06,0.134222
0.06251,0.126758
0.110877,0.115499
0.04043,0.122631
0.111198,0.124593
0.054551,1e-06
0.043066,0.123906
0.023975,0.052953
0.043642,0.046635
0.036544,1e-06
0.06258,1e-06
0.067928,0.017441
0.019469,0.116632
0.028782,0.041852
0.006795,0.045583
1e-06,0.019804
0.03444,0.03661
0.092578,0.06335
0.177548,1e-06
0.015555,0.071975
1e-06,0.052199
0.018799,0.059862
0.09621,0.094641
0.023402,0.092594
1e-06,0.086046
0.064263,1e-06
0.048157,0.059353
0.113158,0.111968
0.106921,0.04697
1e-06,0.092069
0.117703,0.054862
0.065027,0.036068
0.020097,0.051488
0.067606,0.046035
0.052001,0.042176
0.188686,0.058864
0.077178,0.057474
0.10985,0.024407
0.10493,1e-06
1e-06,0.015536
0.083485,0.016959
0.074097,1e-06
0.127324,0.020686
0.120683,0.080341
0.058715,0.140961
0.173046,0.017778
0.010709,1e-06
0.009756,0.006191
0.078423,0.079577
0.113389,1e-06
0.182466,0.006116
1e-06,0.043855
1e-06,0.119902
0.033241,0.050391
0.041891,0.109023
0.065164,0.095032
0.037237,1e-06
1e-06,0.110238
0.063859,0.041093
1e-06,0.015113
0.067535,0.055105
0.131613,0.051905
0.012072,0.171536
0.000655,0.076751
0.004509,0.086117
0.062112,0.099081
1e-06,1e-06
0.03988,0.092312
0.007868,0.057078
0.052734,0.128456
0.044056,0.101887
0.025803,0.087059
0.056356,0.132208
0.037824,1e-06
0.043325,0.010008
0.121507,0.071389
0.081741,0.057376
0.139773,0.176429
0.052183,1e-06
0.152873,0.065239
0.013902,1e-06
0.081088,0.005815
0.147765,0.022115
