File_name,Source,Variance(value),SE
X_apo.ENSG00000170476.15.hsq,V(G)/Vp,0.010612,0.050314
X_apo.ENSG00000211592.8.hsq,V(G)/Vp,0.050442,0.047314
X_apo.ENSG00000211593.2.hsq,V(G)/Vp,0.048402,0.046599
X_apo.ENSG00000211594.2.hsq,V(G)/Vp,0.053273,0.048017
X_apo.ENSG00000211595.2.hsq,V(G)/Vp,0.052757,0.047944
X_apo.ENSG00000211596.3.hsq,V(G)/Vp,0.048669,0.046627
X_apo.ENSG00000211597.2.hsq,V(G)/Vp,0.049414,0.046978
X_apo.ENSG00000211598.2.hsq,V(G)/Vp,0.048504,0.046505
X_apo.ENSG00000211625.2.hsq,V(G)/Vp,0.002458,0.022427
X_apo.ENSG00000211637.2.hsq,V(G)/Vp,0.020270,0.050541
X_apo.ENSG00000211640.4.hsq,V(G)/Vp,0.024858,0.051977
X_apo.ENSG00000211644.3.hsq,V(G)/Vp,0.032478,0.052442
X_apo.ENSG00000211648.2.hsq,V(G)/Vp,0.026157,0.050572
X_apo.ENSG00000211651.3.hsq,V(G)/Vp,0.021460,0.049120
X_apo.ENSG00000211653.2.hsq,V(G)/Vp,0.037463,0.054227
X_apo.ENSG00000211655.3.hsq,V(G)/Vp,0.020268,0.049975
X_apo.ENSG00000211659.2.hsq,V(G)/Vp,0.026776,0.050672
X_apo.ENSG00000211660.3.hsq,V(G)/Vp,0.013834,0.045539
X_apo.ENSG00000211662.2.hsq,V(G)/Vp,0.017427,0.047048
X_apo.ENSG00000211663.2.hsq,V(G)/Vp,0.010095,0.043755
X_apo.ENSG00000211666.2.hsq,V(G)/Vp,0.018948,0.047383
X_apo.ENSG00000211668.2.hsq,V(G)/Vp,0.015743,0.046302
X_apo.ENSG00000211673.2.hsq,V(G)/Vp,0.022139,0.048450
X_apo.ENSG00000211674.2.hsq,V(G)/Vp,0.000001,0.038941
X_apo.ENSG00000211675.2.hsq,V(G)/Vp,0.016803,0.046419
X_apo.ENSG00000211676.2.hsq,V(G)/Vp,0.000001,0.040849
X_apo.ENSG00000211962.2.hsq,V(G)/Vp,0.010137,0.029300
X_apo.ENSG00000211677.2.hsq,V(G)/Vp,0.022273,0.048452
X_apo.ENSG00000211678.2.hsq,V(G)/Vp,0.000276,0.039245
X_apo.ENSG00000211679.2.hsq,V(G)/Vp,0.024606,0.049161
X_apo.ENSG00000211893.3.hsq,V(G)/Vp,0.015975,0.035702
X_apo.ENSG00000211895.4.hsq,V(G)/Vp,0.019580,0.037790
X_apo.ENSG00000211896.7.hsq,V(G)/Vp,0.013268,0.034950
X_apo.ENSG00000211897.8.hsq,V(G)/Vp,0.012020,0.033934
X_apo.ENSG00000211899.9.hsq,V(G)/Vp,0.019566,0.037143
X_apo.ENSG00000211900.2.hsq,V(G)/Vp,0.017718,0.036413
X_apo.ENSG00000211904.2.hsq,V(G)/Vp,0.014850,0.034947
X_apo.ENSG00000211933.2.hsq,V(G)/Vp,0.005282,0.029571
X_apo.ENSG00000211937.3.hsq,V(G)/Vp,0.015804,0.034707
X_apo.ENSG00000211938.2.hsq,V(G)/Vp,0.015428,0.034301
X_apo.ENSG00000211941.3.hsq,V(G)/Vp,0.015138,0.033865
X_apo.ENSG00000211943.2.hsq,V(G)/Vp,0.016803,0.034391
X_apo.ENSG00000211945.2.hsq,V(G)/Vp,0.013330,0.032179
X_apo.ENSG00000211947.2.hsq,V(G)/Vp,0.012242,0.031060
X_apo.ENSG00000211949.3.hsq,V(G)/Vp,0.013212,0.031484
X_apo.ENSG00000211955.2.hsq,V(G)/Vp,0.015093,0.032053
X_apo.ENSG00000211956.2.hsq,V(G)/Vp,0.013499,0.031097
X_apo.ENSG00000211964.3.hsq,V(G)/Vp,0.010180,0.028929
X_apo.ENSG00000211965.4.hsq,V(G)/Vp,0.010451,0.029411
X_apo.ENSG00000211966.2.hsq,V(G)/Vp,0.016249,0.032218
X_apo.ENSG00000211967.3.hsq,V(G)/Vp,0.007444,0.027601
X_apo.ENSG00000222037.5.hsq,V(G)/Vp,0.003980,0.040915
X_apo.ENSG00000224373.3.hsq,V(G)/Vp,0.012430,0.030446
X_apo.ENSG00000224650.2.hsq,V(G)/Vp,0.006572,0.026304
X_apo.ENSG00000239855.1.hsq,V(G)/Vp,0.038117,0.042797
X_apo.ENSG00000239951.1.hsq,V(G)/Vp,0.039123,0.041023
X_apo.ENSG00000240041.1.hsq,V(G)/Vp,0.014250,0.034641
X_apo.ENSG00000240382.3.hsq,V(G)/Vp,0.024165,0.035486
X_apo.ENSG00000240864.3.hsq,V(G)/Vp,0.031252,0.038656
X_apo.ENSG00000241294.1.hsq,V(G)/Vp,0.021987,0.033728
X_apo.ENSG00000241351.3.hsq,V(G)/Vp,0.043284,0.043641
X_apo.ENSG00000241755.1.hsq,V(G)/Vp,0.037207,0.041901
X_apo.ENSG00000242076.2.hsq,V(G)/Vp,0.020319,0.032805
X_apo.ENSG00000242371.1.hsq,V(G)/Vp,0.022714,0.034354
X_apo.ENSG00000242472.1.hsq,V(G)/Vp,0.014978,0.034962
X_apo.ENSG00000242887.1.hsq,V(G)/Vp,0.015909,0.035341
X_apo.ENSG00000243238.1.hsq,V(G)/Vp,0.024157,0.034505
X_apo.ENSG00000243290.3.hsq,V(G)/Vp,0.029620,0.038592
X_apo.ENSG00000243466.1.hsq,V(G)/Vp,0.049318,0.046621
X_apo.ENSG00000244116.3.hsq,V(G)/Vp,0.025309,0.035286
X_apo.ENSG00000244437.1.hsq,V(G)/Vp,0.035142,0.040041
X_apo.ENSG00000244575.3.hsq,V(G)/Vp,0.027496,0.036117
X_apo.ENSG00000253755.1.hsq,V(G)/Vp,0.000001,0.027150
X_apo.ENSG00000278196.3.hsq,V(G)/Vp,0.019951,0.047816
