File_name,Source,Variance(value),SE
X_apo.ENSG00000000419.12.hsq,V(G)/Vp,0.000001,0.055404
X_apo.ENSG00000000457.13.hsq,V(G)/Vp,0.04836,0.049408
X_apo.ENSG00000000938.12.hsq,V(G)/Vp,0.054709,0.057868
X_apo.ENSG00000002834.17.hsq,V(G)/Vp,0.076667,0.060777
X_apo.ENSG00000002919.14.hsq,V(G)/Vp,0.069182,0.060997
X_apo.ENSG00000003400.14.hsq,V(G)/Vp,0.000001,0.050418
X_apo.ENSG00000003402.19.hsq,V(G)/Vp,0.00879,0.045897
X_apo.ENSG00000003509.15.hsq,V(G)/Vp,0.064544,0.059102
X_apo.ENSG00000003756.16.hsq,V(G)/Vp,0.000001,0.055367
X_apo.ENSG00000004059.10.hsq,V(G)/Vp,0.035421,0.054274
X_apo.ENSG00000004660.14.hsq,V(G)/Vp,0.060863,0.059827
X_apo.ENSG00000004700.15.hsq,V(G)/Vp,0.004847,0.037927
X_apo.ENSG00000005007.12.hsq,V(G)/Vp,0.016815,0.058405
X_apo.ENSG00000009844.15.hsq,V(G)/Vp,0.000001,0.047094
X_apo.ENSG00000005020.12.hsq,V(G)/Vp,0.072475,0.055727
X_apo.ENSG00000005075.15.hsq,V(G)/Vp,0.000001,0.05192
X_apo.ENSG00000005175.9.hsq,V(G)/Vp,0.012495,0.041465
X_apo.ENSG00000005238.19.hsq,V(G)/Vp,0.000773,0.046782
X_apo.ENSG00000005339.14.hsq,V(G)/Vp,0.015126,0.051354
X_apo.ENSG00000005812.10.hsq,V(G)/Vp,0.036723,0.050097
X_apo.ENSG00000006007.11.hsq,V(G)/Vp,0.085725,0.059755
X_apo.ENSG00000006715.15.hsq,V(G)/Vp,0.035313,0.053256
X_apo.ENSG00000007237.18.hsq,V(G)/Vp,0.141948,0.074075
X_apo.ENSG00000007944.14.hsq,V(G)/Vp,0.021691,0.05634
X_apo.ENSG00000008130.15.hsq,V(G)/Vp,0.100449,0.07524
X_apo.ENSG00000008282.8.hsq,V(G)/Vp,0.014383,0.058014
X_apo.ENSG00000008516.16.hsq,V(G)/Vp,0.047097,0.059296
X_apo.ENSG00000036054.12.hsq,V(G)/Vp,0.033175,0.044109
