File_name,Source,Variance(value),SE
X_apo.ENSG00000091583.10.hsq,V(G)/Vp,0.003972,0.042219
X_apo.ENSG00000104760.16.hsq,V(G)/Vp,0.000001,0.058219
X_apo.ENSG00000105398.3.hsq,V(G)/Vp,0.000001,0.065366
X_apo.ENSG00000106927.11.hsq,V(G)/Vp,0.023497,0.055398
X_apo.ENSG00000109072.13.hsq,V(G)/Vp,0.000001,0.067261
X_apo.ENSG00000110245.11.hsq,V(G)/Vp,0.019258,0.048778
X_apo.ENSG00000113905.4.hsq,V(G)/Vp,0.000001,0.041843
X_apo.ENSG00000118137.9.hsq,V(G)/Vp,0.000001,0.047545
X_apo.ENSG00000118271.9.hsq,V(G)/Vp,0.011187,0.045080
X_apo.ENSG00000130208.9.hsq,V(G)/Vp,0.000001,0.045892
X_apo.ENSG00000130649.9.hsq,V(G)/Vp,0.035824,0.061537
X_apo.ENSG00000132703.3.hsq,V(G)/Vp,0.307807,0.110333
X_apo.ENSG00000136872.17.hsq,V(G)/Vp,0.000001,0.054529
X_apo.ENSG00000138207.13.hsq,V(G)/Vp,0.013716,0.048211
X_apo.ENSG00000145192.12.hsq,V(G)/Vp,0.000001,0.052780
X_apo.ENSG00000145321.12.hsq,V(G)/Vp,0.009349,0.035622
X_apo.ENSG00000148965.9.hsq,V(G)/Vp,0.000001,0.069823
X_apo.ENSG00000158874.11.hsq,V(G)/Vp,0.060387,0.062281
X_apo.ENSG00000160868.14.hsq,V(G)/Vp,0.000001,0.046030
X_apo.ENSG00000163586.9.hsq,V(G)/Vp,0.000001,0.050610
X_apo.ENSG00000163631.16.hsq,V(G)/Vp,0.006809,0.034672
X_apo.ENSG00000165828.14.hsq,V(G)/Vp,0.000001,0.064920
X_apo.ENSG00000171557.16.hsq,V(G)/Vp,0.000001,0.046197
X_apo.ENSG00000171560.14.hsq,V(G)/Vp,0.000001,0.051378
X_apo.ENSG00000171564.11.hsq,V(G)/Vp,0.000001,0.048051
X_apo.ENSG00000172482.4.hsq,V(G)/Vp,0.000001,0.063654
X_apo.ENSG00000187758.7.hsq,V(G)/Vp,0.014989,0.045332
X_apo.ENSG00000198099.8.hsq,V(G)/Vp,0.037007,0.051576
X_apo.ENSG00000234906.9.hsq,V(G)/Vp,0.000001,0.055011
X_apo.ENSG00000243955.5.hsq,V(G)/Vp,0.164246,0.079146
X_apo.ENSG00000248144.5.hsq,V(G)/Vp,0.029421,0.050629
