File_name,Source,Variance(value),SE
X_apo.ENSG00000051180.16.hsq,V(G)/Vp,0.046228,0.058073
X_apo.ENSG00000073111.13.hsq,V(G)/Vp,0.000001,0.055038
X_apo.ENSG00000075218.18.hsq,V(G)/Vp,0.000001,0.054141
X_apo.ENSG00000076382.16.hsq,V(G)/Vp,0.001048,0.054471
X_apo.ENSG00000077152.9.hsq,V(G)/Vp,0.017144,0.061882
X_apo.ENSG00000080986.12.hsq,V(G)/Vp,0.000001,0.059325
X_apo.ENSG00000085840.12.hsq,V(G)/Vp,0.000001,0.046612
X_apo.ENSG00000087586.17.hsq,V(G)/Vp,0.040366,0.060046
X_apo.ENSG00000088325.15.hsq,V(G)/Vp,0.000001,0.055260
X_apo.ENSG00000089685.14.hsq,V(G)/Vp,0.013164,0.058271
X_apo.ENSG00000092470.11.hsq,V(G)/Vp,0.000001,0.045030
X_apo.ENSG00000093009.9.hsq,V(G)/Vp,0.000001,0.065295
X_apo.ENSG00000100162.14.hsq,V(G)/Vp,0.000001,0.056154
X_apo.ENSG00000100526.19.hsq,V(G)/Vp,0.000001,0.052809
X_apo.ENSG00000101057.15.hsq,V(G)/Vp,0.007122,0.056902
X_apo.ENSG00000104738.16.hsq,V(G)/Vp,0.000001,0.044131
X_apo.ENSG00000105173.13.hsq,V(G)/Vp,0.000001,0.047231
X_apo.ENSG00000106462.10.hsq,V(G)/Vp,0.040331,0.059616
X_apo.ENSG00000109685.17.hsq,V(G)/Vp,0.000001,0.055066
X_apo.ENSG00000109805.9.hsq,V(G)/Vp,0.032409,0.057572
X_apo.ENSG00000111206.12.hsq,V(G)/Vp,0.000001,0.055604
X_apo.ENSG00000112984.11.hsq,V(G)/Vp,0.000001,0.046513
X_apo.ENSG00000117399.13.hsq,V(G)/Vp,0.000078,0.036876
X_apo.ENSG00000117632.22.hsq,V(G)/Vp,0.005101,0.044698
X_apo.ENSG00000121152.9.hsq,V(G)/Vp,0.000001,0.076689
X_apo.ENSG00000122952.16.hsq,V(G)/Vp,0.000001,0.032906
X_apo.ENSG00000123485.11.hsq,V(G)/Vp,0.000001,0.056760
X_apo.ENSG00000126787.12.hsq,V(G)/Vp,0.000001,0.046763
X_apo.ENSG00000127564.16.hsq,V(G)/Vp,0.062821,0.062972
X_apo.ENSG00000131153.8.hsq,V(G)/Vp,0.000001,0.059892
X_apo.ENSG00000131747.14.hsq,V(G)/Vp,0.000001,0.046418
X_apo.ENSG00000134057.14.hsq,V(G)/Vp,0.000001,0.042445
X_apo.ENSG00000134690.10.hsq,V(G)/Vp,0.000001,0.060192
X_apo.ENSG00000135451.12.hsq,V(G)/Vp,0.000001,0.052582
X_apo.ENSG00000137310.11.hsq,V(G)/Vp,0.018584,0.034309
X_apo.ENSG00000137804.12.hsq,V(G)/Vp,0.015083,0.052282
X_apo.ENSG00000138160.5.hsq,V(G)/Vp,0.092764,0.063627
X_apo.ENSG00000140525.17.hsq,V(G)/Vp,0.060583,0.062375
X_apo.ENSG00000142945.12.hsq,V(G)/Vp,0.000001,0.041676
X_apo.ENSG00000144354.13.hsq,V(G)/Vp,0.040215,0.064155
X_apo.ENSG00000145386.9.hsq,V(G)/Vp,0.064953,0.058782
X_apo.ENSG00000146670.9.hsq,V(G)/Vp,0.000001,0.062582
X_apo.ENSG00000146918.19.hsq,V(G)/Vp,0.000001,0.054179
X_apo.ENSG00000148773.13.hsq,V(G)/Vp,0.000001,0.062463
X_apo.ENSG00000149503.12.hsq,V(G)/Vp,0.000001,0.059871
X_apo.ENSG00000151503.12.hsq,V(G)/Vp,0.000001,0.062172
X_apo.ENSG00000153044.9.hsq,V(G)/Vp,0.000001,0.042301
X_apo.ENSG00000156802.12.hsq,V(G)/Vp,0.000001,0.055239
X_apo.ENSG00000157456.7.hsq,V(G)/Vp,0.000001,0.060265
X_apo.ENSG00000160957.12.hsq,V(G)/Vp,0.000001,0.048583
X_apo.ENSG00000161800.12.hsq,V(G)/Vp,0.000001,0.055752
X_apo.ENSG00000161888.11.hsq,V(G)/Vp,0.000001,0.063795
X_apo.ENSG00000162063.12.hsq,V(G)/Vp,0.000001,0.059094
X_apo.ENSG00000164611.12.hsq,V(G)/Vp,0.012732,0.055876
X_apo.ENSG00000166851.14.hsq,V(G)/Vp,0.000001,0.060527
X_apo.ENSG00000167325.14.hsq,V(G)/Vp,0.000001,0.044701
X_apo.ENSG00000167513.8.hsq,V(G)/Vp,0.000001,0.057347
X_apo.ENSG00000167670.15.hsq,V(G)/Vp,0.000001,0.075000
X_apo.ENSG00000167900.11.hsq,V(G)/Vp,0.008077,0.056262
X_apo.ENSG00000169679.14.hsq,V(G)/Vp,0.017235,0.056412
X_apo.ENSG00000170312.15.hsq,V(G)/Vp,0.000001,0.047528
X_apo.ENSG00000171848.13.hsq,V(G)/Vp,0.000001,0.056165
X_apo.ENSG00000173207.12.hsq,V(G)/Vp,0.000001,0.065888
X_apo.ENSG00000176890.15.hsq,V(G)/Vp,0.000001,0.055272
X_apo.ENSG00000178999.12.hsq,V(G)/Vp,0.000001,0.063501
X_apo.ENSG00000186185.13.hsq,V(G)/Vp,0.000001,0.032800
X_apo.ENSG00000198901.13.hsq,V(G)/Vp,0.025047,0.050993
X_apo.ENSG00000237649.7.hsq,V(G)/Vp,0.021501,0.029089
