File_name,Source,Variance(value),SE
X.ENSG00000170476.15.hsq,V(G)/Vp,0.063994,0.061431
X.ENSG00000211592.8.hsq,V(G)/Vp,0.068222,0.052125
X.ENSG00000211593.2.hsq,V(G)/Vp,0.089898,0.060206
X.ENSG00000211594.2.hsq,V(G)/Vp,0.067696,0.052053
X.ENSG00000211595.2.hsq,V(G)/Vp,0.075520,0.056294
X.ENSG00000211596.3.hsq,V(G)/Vp,0.065700,0.052319
X.ENSG00000211597.2.hsq,V(G)/Vp,0.079993,0.055983
X.ENSG00000211598.2.hsq,V(G)/Vp,0.071972,0.055727
X.ENSG00000211625.2.hsq,V(G)/Vp,0.174133,0.071632
X.ENSG00000211637.2.hsq,V(G)/Vp,0.092425,0.058710
X.ENSG00000211640.4.hsq,V(G)/Vp,0.166095,0.065479
X.ENSG00000211644.3.hsq,V(G)/Vp,0.128444,0.062508
X.ENSG00000211648.2.hsq,V(G)/Vp,0.091505,0.059143
X.ENSG00000211651.3.hsq,V(G)/Vp,0.182633,0.071498
X.ENSG00000211653.2.hsq,V(G)/Vp,0.135211,0.065707
X.ENSG00000211655.3.hsq,V(G)/Vp,0.135672,0.065880
X.ENSG00000211659.2.hsq,V(G)/Vp,0.125297,0.065535
X.ENSG00000211660.3.hsq,V(G)/Vp,0.131555,0.068238
X.ENSG00000211662.2.hsq,V(G)/Vp,0.135405,0.066492
X.ENSG00000211663.2.hsq,V(G)/Vp,0.187599,0.070282
X.ENSG00000211666.2.hsq,V(G)/Vp,0.220877,0.075045
X.ENSG00000211668.2.hsq,V(G)/Vp,0.172825,0.070884
X.ENSG00000211673.2.hsq,V(G)/Vp,0.131160,0.067000
X.ENSG00000211674.2.hsq,V(G)/Vp,0.147113,0.065427
X.ENSG00000211675.2.hsq,V(G)/Vp,0.142127,0.067480
X.ENSG00000211676.2.hsq,V(G)/Vp,0.137893,0.067535
X.ENSG00000211677.2.hsq,V(G)/Vp,0.131964,0.067179
X.ENSG00000211678.2.hsq,V(G)/Vp,0.151821,0.070847
X.ENSG00000211679.2.hsq,V(G)/Vp,0.273407,0.086441
X.ENSG00000211893.3.hsq,V(G)/Vp,0.079624,0.054451
X.ENSG00000211895.4.hsq,V(G)/Vp,0.022159,0.039895
X.ENSG00000211896.7.hsq,V(G)/Vp,0.101546,0.056956
X.ENSG00000211897.8.hsq,V(G)/Vp,0.085986,0.059622
X.ENSG00000211899.9.hsq,V(G)/Vp,0.000001,0.028011
X.ENSG00000211900.2.hsq,V(G)/Vp,0.014230,0.034824
X.ENSG00000211904.2.hsq,V(G)/Vp,0.003206,0.033329
X.ENSG00000211933.2.hsq,V(G)/Vp,0.004576,0.045445
X.ENSG00000211937.3.hsq,V(G)/Vp,0.094121,0.057967
X.ENSG00000211938.2.hsq,V(G)/Vp,0.072083,0.049018
X.ENSG00000211941.3.hsq,V(G)/Vp,0.087979,0.056892
X.ENSG00000211943.2.hsq,V(G)/Vp,0.024656,0.034341
X.ENSG00000211945.2.hsq,V(G)/Vp,0.065324,0.046217
X.ENSG00000211947.2.hsq,V(G)/Vp,0.114619,0.059070
X.ENSG00000211949.3.hsq,V(G)/Vp,0.000468,0.031716
X.ENSG00000211955.2.hsq,V(G)/Vp,0.012467,0.038435
X.ENSG00000211956.2.hsq,V(G)/Vp,0.019529,0.037001
X.ENSG00000211962.2.hsq,V(G)/Vp,0.008522,0.030222
X.ENSG00000211964.3.hsq,V(G)/Vp,0.224786,0.065817
X.ENSG00000211965.4.hsq,V(G)/Vp,0.095851,0.051366
X.ENSG00000211966.2.hsq,V(G)/Vp,0.040193,0.037616
X.ENSG00000211967.3.hsq,V(G)/Vp,0.073840,0.050608
X.ENSG00000222037.5.hsq,V(G)/Vp,0.229338,0.075700
X.ENSG00000224373.3.hsq,V(G)/Vp,0.102167,0.048805
X.ENSG00000224650.2.hsq,V(G)/Vp,0.016765,0.026156
X.ENSG00000239855.1.hsq,V(G)/Vp,0.096825,0.061041
X.ENSG00000239951.1.hsq,V(G)/Vp,0.051177,0.044640
X.ENSG00000240041.1.hsq,V(G)/Vp,0.004803,0.026706
X.ENSG00000240382.3.hsq,V(G)/Vp,0.118762,0.067785
X.ENSG00000240864.3.hsq,V(G)/Vp,0.111838,0.064826
X.ENSG00000241294.1.hsq,V(G)/Vp,0.045703,0.043773
X.ENSG00000241351.3.hsq,V(G)/Vp,0.068609,0.050398
X.ENSG00000241755.1.hsq,V(G)/Vp,0.225032,0.080435
X.ENSG00000242076.2.hsq,V(G)/Vp,0.101460,0.062894
X.ENSG00000242371.1.hsq,V(G)/Vp,0.049962,0.055313
X.ENSG00000242472.1.hsq,V(G)/Vp,0.010645,0.031833
X.ENSG00000242887.1.hsq,V(G)/Vp,0.046554,0.039118
X.ENSG00000243238.1.hsq,V(G)/Vp,0.149622,0.067046
X.ENSG00000243290.3.hsq,V(G)/Vp,0.046941,0.043336
X.ENSG00000243466.1.hsq,V(G)/Vp,0.095915,0.056903
X.ENSG00000244116.3.hsq,V(G)/Vp,0.050356,0.048045
X.ENSG00000244437.1.hsq,V(G)/Vp,0.093213,0.056661
X.ENSG00000244575.3.hsq,V(G)/Vp,0.141128,0.064924
X.ENSG00000253755.1.hsq,V(G)/Vp,0.083718,0.059723
X.ENSG00000278196.3.hsq,V(G)/Vp,0.120131,0.072104
