File_name,Source,Variance(value),SE
X.ENSG00000001036.13.hsq,V(G)/Vp,0.029510,0.048900
X.ENSG00000001167.14.hsq,V(G)/Vp,0.095030,0.062012
X.ENSG00000001461.16.hsq,V(G)/Vp,0.077712,0.064665
X.ENSG00000001629.9.hsq,V(G)/Vp,0.064833,0.061898
X.ENSG00000001631.15.hsq,V(G)/Vp,0.141090,0.070115
X.ENSG00000002016.17.hsq,V(G)/Vp,0.073830,0.074835
X.ENSG00000002330.13.hsq,V(G)/Vp,0.028670,0.038644
X.ENSG00000002822.15.hsq,V(G)/Vp,0.074626,0.061380
X.ENSG00000003056.7.hsq,V(G)/Vp,0.121369,0.063943
X.ENSG00000003393.14.hsq,V(G)/Vp,0.183687,0.078369
X.ENSG00000004139.13.hsq,V(G)/Vp,0.192762,0.078558
X.ENSG00000004142.11.hsq,V(G)/Vp,0.044875,0.053988
X.ENSG00000004455.16.hsq,V(G)/Vp,0.000001,0.060669
X.ENSG00000004487.15.hsq,V(G)/Vp,0.077957,0.061347
X.ENSG00000004534.14.hsq,V(G)/Vp,0.221521,0.079159
X.ENSG00000004766.15.hsq,V(G)/Vp,0.113712,0.062749
X.ENSG00000060688.12.hsq,V(G)/Vp,0.068995,0.049422
X.ENSG00000004779.9.hsq,V(G)/Vp,0.065544,0.055077
X.ENSG00000004864.13.hsq,V(G)/Vp,0.186855,0.074259
X.ENSG00000004897.11.hsq,V(G)/Vp,0.000001,0.044914
X.ENSG00000004975.11.hsq,V(G)/Vp,0.092970,0.067876
X.ENSG00000005059.15.hsq,V(G)/Vp,0.119473,0.061231
X.ENSG00000005100.12.hsq,V(G)/Vp,0.031554,0.047050
X.ENSG00000005156.11.hsq,V(G)/Vp,0.000001,0.056272
X.ENSG00000005194.14.hsq,V(G)/Vp,0.098292,0.060990
X.ENSG00000005206.16.hsq,V(G)/Vp,0.072313,0.072190
X.ENSG00000005379.15.hsq,V(G)/Vp,0.121617,0.072838
X.ENSG00000005436.13.hsq,V(G)/Vp,0.089735,0.056426
X.ENSG00000005448.16.hsq,V(G)/Vp,0.012475,0.046532
X.ENSG00000005469.11.hsq,V(G)/Vp,0.193214,0.071567
X.ENSG00000005483.20.hsq,V(G)/Vp,0.086963,0.066825
X.ENSG00000005486.16.hsq,V(G)/Vp,0.036406,0.055343
X.ENSG00000005700.14.hsq,V(G)/Vp,0.078460,0.054652
X.ENSG00000005801.16.hsq,V(G)/Vp,0.028515,0.051426
X.ENSG00000005810.17.hsq,V(G)/Vp,0.078491,0.062043
X.ENSG00000005844.17.hsq,V(G)/Vp,0.052340,0.059681
X.ENSG00000006015.17.hsq,V(G)/Vp,0.182191,0.083005
X.ENSG00000006025.11.hsq,V(G)/Vp,0.065165,0.063365
X.ENSG00000006062.14.hsq,V(G)/Vp,0.075560,0.059960
X.ENSG00000006125.17.hsq,V(G)/Vp,0.056260,0.056749
X.ENSG00000006194.9.hsq,V(G)/Vp,0.134590,0.065445
X.ENSG00000006451.7.hsq,V(G)/Vp,0.083599,0.055335
X.ENSG00000006459.10.hsq,V(G)/Vp,0.007401,0.044671
X.ENSG00000006530.15.hsq,V(G)/Vp,0.030797,0.061275
X.ENSG00000006576.16.hsq,V(G)/Vp,0.035297,0.061373
X.ENSG00000006625.17.hsq,V(G)/Vp,0.075547,0.063308
X.ENSG00000006634.7.hsq,V(G)/Vp,0.034584,0.048040
X.ENSG00000006652.13.hsq,V(G)/Vp,0.065313,0.050233
X.ENSG00000006695.10.hsq,V(G)/Vp,0.117588,0.071055
X.ENSG00000006712.14.hsq,V(G)/Vp,0.037734,0.058730
X.ENSG00000006744.18.hsq,V(G)/Vp,0.051327,0.063871
X.ENSG00000006831.9.hsq,V(G)/Vp,0.045807,0.066965
X.ENSG00000007168.12.hsq,V(G)/Vp,0.009956,0.048392
X.ENSG00000007202.14.hsq,V(G)/Vp,0.047962,0.055001
X.ENSG00000007255.10.hsq,V(G)/Vp,0.093786,0.069607
X.ENSG00000007264.14.hsq,V(G)/Vp,0.079561,0.078015
X.ENSG00000007376.7.hsq,V(G)/Vp,0.069784,0.050202
X.ENSG00000007392.16.hsq,V(G)/Vp,0.177218,0.077334
X.ENSG00000007402.11.hsq,V(G)/Vp,0.048555,0.059542
X.ENSG00000007520.3.hsq,V(G)/Vp,0.056791,0.045302
X.ENSG00000007545.15.hsq,V(G)/Vp,0.129447,0.080370
X.ENSG00000007923.15.hsq,V(G)/Vp,0.127567,0.068917
X.ENSG00000008018.8.hsq,V(G)/Vp,0.022693,0.038455
X.ENSG00000008083.13.hsq,V(G)/Vp,0.043044,0.061655
X.ENSG00000008283.15.hsq,V(G)/Vp,0.174731,0.071601
X.ENSG00000008294.20.hsq,V(G)/Vp,0.059626,0.063745
X.ENSG00000008324.11.hsq,V(G)/Vp,0.058029,0.048228
X.ENSG00000008382.15.hsq,V(G)/Vp,0.016994,0.067391
X.ENSG00000008405.11.hsq,V(G)/Vp,0.000001,0.050260
X.ENSG00000008513.14.hsq,V(G)/Vp,0.095932,0.067667
X.ENSG00000008517.16.hsq,V(G)/Vp,0.120925,0.062394
X.ENSG00000008710.19.hsq,V(G)/Vp,0.086330,0.069131
X.ENSG00000008838.19.hsq,V(G)/Vp,0.065232,0.064686
X.ENSG00000008988.9.hsq,V(G)/Vp,0.022518,0.042478
X.ENSG00000009335.17.hsq,V(G)/Vp,0.024751,0.051201
X.ENSG00000009413.15.hsq,V(G)/Vp,0.030946,0.050521
X.ENSG00000009780.15.hsq,V(G)/Vp,0.000001,0.045497
X.ENSG00000009790.14.hsq,V(G)/Vp,0.181529,0.073974
X.ENSG00000009954.10.hsq,V(G)/Vp,0.013786,0.051986
X.ENSG00000010165.19.hsq,V(G)/Vp,0.078157,0.045596
X.ENSG00000010244.18.hsq,V(G)/Vp,0.000001,0.062919
X.ENSG00000010256.10.hsq,V(G)/Vp,0.000001,0.042671
X.ENSG00000010292.12.hsq,V(G)/Vp,0.067540,0.066004
X.ENSG00000010295.19.hsq,V(G)/Vp,0.000001,0.053719
X.ENSG00000010310.8.hsq,V(G)/Vp,0.135765,0.080993
X.ENSG00000010322.15.hsq,V(G)/Vp,0.021319,0.043999
X.ENSG00000010610.9.hsq,V(G)/Vp,0.003327,0.046067
X.ENSG00000010803.16.hsq,V(G)/Vp,0.000001,0.056960
X.ENSG00000010810.17.hsq,V(G)/Vp,0.045845,0.056172
X.ENSG00000010818.9.hsq,V(G)/Vp,0.000001,0.050571
X.ENSG00000011007.12.hsq,V(G)/Vp,0.086059,0.058811
X.ENSG00000011009.10.hsq,V(G)/Vp,0.048703,0.048343
X.ENSG00000011021.21.hsq,V(G)/Vp,0.086497,0.066019
X.ENSG00000011132.11.hsq,V(G)/Vp,0.079872,0.060879
X.ENSG00000011143.16.hsq,V(G)/Vp,0.129383,0.073294
X.ENSG00000011243.17.hsq,V(G)/Vp,0.076761,0.067493
X.ENSG00000011260.13.hsq,V(G)/Vp,0.090099,0.062899
X.ENSG00000011275.18.hsq,V(G)/Vp,0.005682,0.037324
X.ENSG00000011295.15.hsq,V(G)/Vp,0.117394,0.068128
X.ENSG00000011304.19.hsq,V(G)/Vp,0.047136,0.075274
X.ENSG00000011376.9.hsq,V(G)/Vp,0.097099,0.058032
X.ENSG00000011405.13.hsq,V(G)/Vp,0.000001,0.049114
X.ENSG00000011451.17.hsq,V(G)/Vp,0.080014,0.063808
X.ENSG00000011478.11.hsq,V(G)/Vp,0.057021,0.072821
X.ENSG00000011485.14.hsq,V(G)/Vp,0.244365,0.085023
X.ENSG00000011638.10.hsq,V(G)/Vp,0.151176,0.079568
X.ENSG00000012061.15.hsq,V(G)/Vp,0.141752,0.074703
X.ENSG00000012963.14.hsq,V(G)/Vp,0.043676,0.052197
X.ENSG00000012983.11.hsq,V(G)/Vp,0.000001,0.058053
X.ENSG00000013275.7.hsq,V(G)/Vp,0.107835,0.065486
X.ENSG00000013288.8.hsq,V(G)/Vp,0.085810,0.063114
X.ENSG00000013374.15.hsq,V(G)/Vp,0.156425,0.072108
X.ENSG00000013375.15.hsq,V(G)/Vp,0.131492,0.058887
X.ENSG00000013441.15.hsq,V(G)/Vp,0.094638,0.059447
X.ENSG00000013503.9.hsq,V(G)/Vp,0.068205,0.054607
X.ENSG00000013523.9.hsq,V(G)/Vp,0.070228,0.064595
X.ENSG00000013725.14.hsq,V(G)/Vp,0.058170,0.057175
X.ENSG00000014138.8.hsq,V(G)/Vp,0.124970,0.068287
X.ENSG00000014216.15.hsq,V(G)/Vp,0.025423,0.040100
X.ENSG00000014641.17.hsq,V(G)/Vp,0.001173,0.042317
X.ENSG00000015133.18.hsq,V(G)/Vp,0.041611,0.061848
X.ENSG00000015153.14.hsq,V(G)/Vp,0.067580,0.056736
X.ENSG00000015171.19.hsq,V(G)/Vp,0.072014,0.057648
X.ENSG00000015479.18.hsq,V(G)/Vp,0.199894,0.083508
X.ENSG00000015532.9.hsq,V(G)/Vp,0.112967,0.061975
X.ENSG00000015676.17.hsq,V(G)/Vp,0.093403,0.058206
X.ENSG00000017260.19.hsq,V(G)/Vp,0.059459,0.052614
X.ENSG00000018189.12.hsq,V(G)/Vp,0.057295,0.055578
X.ENSG00000018510.13.hsq,V(G)/Vp,0.074631,0.059470
X.ENSG00000018699.11.hsq,V(G)/Vp,0.139009,0.064092
X.ENSG00000020129.15.hsq,V(G)/Vp,0.116948,0.060681
X.ENSG00000020426.10.hsq,V(G)/Vp,0.079215,0.062220
X.ENSG00000020633.18.hsq,V(G)/Vp,0.047404,0.054493
X.ENSG00000020922.12.hsq,V(G)/Vp,0.123261,0.060925
X.ENSG00000021762.19.hsq,V(G)/Vp,0.075698,0.068141
X.ENSG00000021776.10.hsq,V(G)/Vp,0.039341,0.052006
X.ENSG00000023191.16.hsq,V(G)/Vp,0.172895,0.077206
X.ENSG00000023228.13.hsq,V(G)/Vp,0.015206,0.043782
X.ENSG00000023445.13.hsq,V(G)/Vp,0.029531,0.051156
X.ENSG00000023516.8.hsq,V(G)/Vp,0.002624,0.046991
X.ENSG00000023734.10.hsq,V(G)/Vp,0.039538,0.046059
X.ENSG00000023892.10.hsq,V(G)/Vp,0.000001,0.045152
X.ENSG00000025156.12.hsq,V(G)/Vp,0.062598,0.059803
X.ENSG00000025293.16.hsq,V(G)/Vp,0.122198,0.070542
X.ENSG00000025770.18.hsq,V(G)/Vp,0.000001,0.043879
X.ENSG00000025772.7.hsq,V(G)/Vp,0.129711,0.066118
X.ENSG00000025796.13.hsq,V(G)/Vp,0.033897,0.055204
X.ENSG00000025800.13.hsq,V(G)/Vp,0.027069,0.050909
X.ENSG00000026025.15.hsq,V(G)/Vp,0.012628,0.044410
X.ENSG00000026751.16.hsq,V(G)/Vp,0.124628,0.073596
X.ENSG00000027075.14.hsq,V(G)/Vp,0.097797,0.071833
X.ENSG00000027869.11.hsq,V(G)/Vp,0.076921,0.062970
X.ENSG00000028203.17.hsq,V(G)/Vp,0.000001,0.058041
X.ENSG00000028310.17.hsq,V(G)/Vp,0.022374,0.043229
X.ENSG00000029639.10.hsq,V(G)/Vp,0.197618,0.072694
X.ENSG00000029725.16.hsq,V(G)/Vp,0.073338,0.060439
X.ENSG00000030066.13.hsq,V(G)/Vp,0.050044,0.049997
X.ENSG00000030419.16.hsq,V(G)/Vp,0.030606,0.048384
X.ENSG00000031003.10.hsq,V(G)/Vp,0.084066,0.063314
X.ENSG00000031698.12.hsq,V(G)/Vp,0.090301,0.063979
X.ENSG00000031823.14.hsq,V(G)/Vp,0.046207,0.057798
X.ENSG00000032389.12.hsq,V(G)/Vp,0.115081,0.069529
X.ENSG00000033011.11.hsq,V(G)/Vp,0.130503,0.059501
X.ENSG00000033050.7.hsq,V(G)/Vp,0.181923,0.071088
X.ENSG00000033170.16.hsq,V(G)/Vp,0.152174,0.070781
X.ENSG00000033867.16.hsq,V(G)/Vp,0.132887,0.070306
X.ENSG00000034053.14.hsq,V(G)/Vp,0.052243,0.058476
X.ENSG00000034510.5.hsq,V(G)/Vp,0.057602,0.045793
X.ENSG00000034677.12.hsq,V(G)/Vp,0.015083,0.045933
X.ENSG00000034693.14.hsq,V(G)/Vp,0.106005,0.065607
X.ENSG00000035115.21.hsq,V(G)/Vp,0.200598,0.073870
X.ENSG00000035141.7.hsq,V(G)/Vp,0.031917,0.049805
X.ENSG00000035687.9.hsq,V(G)/Vp,0.006639,0.051176
X.ENSG00000035928.15.hsq,V(G)/Vp,0.064304,0.059249
X.ENSG00000036549.12.hsq,V(G)/Vp,0.111393,0.067560
X.ENSG00000037474.14.hsq,V(G)/Vp,0.118522,0.064265
X.ENSG00000037637.10.hsq,V(G)/Vp,0.049560,0.059727
X.ENSG00000037757.13.hsq,V(G)/Vp,0.063693,0.067725
X.ENSG00000038210.12.hsq,V(G)/Vp,0.101384,0.068974
X.ENSG00000038358.14.hsq,V(G)/Vp,0.012281,0.037770
X.ENSG00000038532.14.hsq,V(G)/Vp,0.111390,0.070494
X.ENSG00000039123.15.hsq,V(G)/Vp,0.108945,0.061771
X.ENSG00000039650.11.hsq,V(G)/Vp,0.012314,0.040924
X.ENSG00000040487.12.hsq,V(G)/Vp,0.084059,0.057335
X.ENSG00000040531.14.hsq,V(G)/Vp,0.106179,0.060964
X.ENSG00000041802.10.hsq,V(G)/Vp,0.122762,0.074203
X.ENSG00000041880.14.hsq,V(G)/Vp,0.000575,0.046728
X.ENSG00000041988.15.hsq,V(G)/Vp,0.081532,0.055946
X.ENSG00000042088.13.hsq,V(G)/Vp,0.037612,0.060843
X.ENSG00000043514.15.hsq,V(G)/Vp,0.196591,0.073333
X.ENSG00000044090.8.hsq,V(G)/Vp,0.231178,0.078531
X.ENSG00000047188.15.hsq,V(G)/Vp,0.102929,0.055781
X.ENSG00000047346.12.hsq,V(G)/Vp,0.046294,0.059214
X.ENSG00000047365.11.hsq,V(G)/Vp,0.154537,0.063994
X.ENSG00000047621.11.hsq,V(G)/Vp,0.138585,0.067737
X.ENSG00000047849.21.hsq,V(G)/Vp,0.099036,0.065061
X.ENSG00000048028.11.hsq,V(G)/Vp,0.083942,0.063672
X.ENSG00000048162.20.hsq,V(G)/Vp,0.115825,0.058558
X.ENSG00000048405.9.hsq,V(G)/Vp,0.032399,0.052398
X.ENSG00000048471.13.hsq,V(G)/Vp,0.029632,0.063178
X.ENSG00000048544.5.hsq,V(G)/Vp,0.080623,0.072878
X.ENSG00000048991.16.hsq,V(G)/Vp,0.000001,0.045853
X.ENSG00000049167.13.hsq,V(G)/Vp,0.071685,0.053709
X.ENSG00000049245.12.hsq,V(G)/Vp,0.000001,0.053493
X.ENSG00000049449.8.hsq,V(G)/Vp,0.033886,0.054994
X.ENSG00000049541.10.hsq,V(G)/Vp,0.000001,0.067212
X.ENSG00000049618.22.hsq,V(G)/Vp,0.106958,0.074134
X.ENSG00000049656.13.hsq,V(G)/Vp,0.050686,0.047726
X.ENSG00000050405.13.hsq,V(G)/Vp,0.053929,0.051584
X.ENSG00000050426.15.hsq,V(G)/Vp,0.003627,0.046172
X.ENSG00000050748.17.hsq,V(G)/Vp,0.125634,0.073516
X.ENSG00000051825.14.hsq,V(G)/Vp,0.075703,0.063258
X.ENSG00000052795.12.hsq,V(G)/Vp,0.000001,0.046688
X.ENSG00000052841.14.hsq,V(G)/Vp,0.055741,0.058569
X.ENSG00000053254.15.hsq,V(G)/Vp,0.000001,0.049426
X.ENSG00000053371.12.hsq,V(G)/Vp,0.068564,0.055121
X.ENSG00000053372.4.hsq,V(G)/Vp,0.130002,0.064909
X.ENSG00000053501.12.hsq,V(G)/Vp,0.127674,0.079209
X.ENSG00000053702.14.hsq,V(G)/Vp,0.103931,0.069082
X.ENSG00000054148.17.hsq,V(G)/Vp,0.023658,0.055347
X.ENSG00000054219.10.hsq,V(G)/Vp,0.087908,0.060609
X.ENSG00000054611.13.hsq,V(G)/Vp,0.043589,0.043081
X.ENSG00000054654.16.hsq,V(G)/Vp,0.104521,0.070214
X.ENSG00000054983.16.hsq,V(G)/Vp,0.000001,0.040904
X.ENSG00000055044.10.hsq,V(G)/Vp,0.000001,0.055558
X.ENSG00000055070.16.hsq,V(G)/Vp,0.065221,0.052705
X.ENSG00000055130.15.hsq,V(G)/Vp,0.095939,0.063834
X.ENSG00000055163.19.hsq,V(G)/Vp,0.061989,0.054981
X.ENSG00000055483.19.hsq,V(G)/Vp,0.025657,0.059458
X.ENSG00000055609.17.hsq,V(G)/Vp,0.035192,0.065874
X.ENSG00000055950.16.hsq,V(G)/Vp,0.129211,0.064128
X.ENSG00000056558.10.hsq,V(G)/Vp,0.113220,0.067339
X.ENSG00000056972.18.hsq,V(G)/Vp,0.062246,0.057140
X.ENSG00000057657.15.hsq,V(G)/Vp,0.007205,0.047145
