File_name,Source,Variance(value),SE
X_apo.ENSG00000010244.18.hsq,V(G)/Vp,0.000001,0.064010
X_apo.ENSG00000010256.10.hsq,V(G)/Vp,0.000001,0.043731
X_apo.ENSG00000010292.12.hsq,V(G)/Vp,0.076329,0.066325
X_apo.ENSG00000010295.19.hsq,V(G)/Vp,0.000001,0.040991
X_apo.ENSG00000010310.8.hsq,V(G)/Vp,0.163001,0.082988
X_apo.ENSG00000010322.15.hsq,V(G)/Vp,0.026427,0.045639
X_apo.ENSG00000010610.9.hsq,V(G)/Vp,0.012209,0.046918
X_apo.ENSG00000010803.16.hsq,V(G)/Vp,0.000001,0.056524
X_apo.ENSG00000010810.17.hsq,V(G)/Vp,0.060853,0.059292
X_apo.ENSG00000010818.9.hsq,V(G)/Vp,0.000001,0.050818
X_apo.ENSG00000011007.12.hsq,V(G)/Vp,0.075238,0.057251
X_apo.ENSG00000011009.10.hsq,V(G)/Vp,0.045954,0.047035
X_apo.ENSG00000011021.21.hsq,V(G)/Vp,0.047366,0.059860
X_apo.ENSG00000079785.14.hsq,V(G)/Vp,0.123876,0.062816
X_apo.ENSG00000011132.11.hsq,V(G)/Vp,0.086446,0.063646
X_apo.ENSG00000011143.16.hsq,V(G)/Vp,0.110794,0.071549
X_apo.ENSG00000011243.17.hsq,V(G)/Vp,0.076912,0.068280
X_apo.ENSG00000011260.13.hsq,V(G)/Vp,0.076892,0.059852
X_apo.ENSG00000011275.18.hsq,V(G)/Vp,0.007223,0.037877
X_apo.ENSG00000011295.15.hsq,V(G)/Vp,0.064829,0.062683
X_apo.ENSG00000011304.19.hsq,V(G)/Vp,0.057416,0.076628
X_apo.ENSG00000011376.9.hsq,V(G)/Vp,0.111444,0.059387
X_apo.ENSG00000011405.13.hsq,V(G)/Vp,0.000001,0.049251
X_apo.ENSG00000011451.17.hsq,V(G)/Vp,0.098754,0.066386
X_apo.ENSG00000011478.11.hsq,V(G)/Vp,0.028988,0.069144
X_apo.ENSG00000011485.14.hsq,V(G)/Vp,0.193447,0.081575
X_apo.ENSG00000011638.10.hsq,V(G)/Vp,0.097055,0.073860
X_apo.ENSG00000012061.15.hsq,V(G)/Vp,0.130285,0.071767
X_apo.ENSG00000012963.14.hsq,V(G)/Vp,0.041688,0.053640
X_apo.ENSG00000012983.11.hsq,V(G)/Vp,0.000001,0.060002
X_apo.ENSG00000013275.7.hsq,V(G)/Vp,0.106976,0.065959
X_apo.ENSG00000013288.8.hsq,V(G)/Vp,0.072166,0.062016
X_apo.ENSG00000013374.15.hsq,V(G)/Vp,0.168318,0.072990
X_apo.ENSG00000013375.15.hsq,V(G)/Vp,0.134926,0.059300
X_apo.ENSG00000013441.15.hsq,V(G)/Vp,0.108243,0.060983
X_apo.ENSG00000013503.9.hsq,V(G)/Vp,0.059504,0.050322
X_apo.ENSG00000013523.9.hsq,V(G)/Vp,0.041120,0.060113
X_apo.ENSG00000013725.14.hsq,V(G)/Vp,0.048254,0.056739
X_apo.ENSG00000014138.8.hsq,V(G)/Vp,0.128100,0.067464
X_apo.ENSG00000014216.15.hsq,V(G)/Vp,0.027496,0.040172
X_apo.ENSG00000014641.17.hsq,V(G)/Vp,0.000001,0.042994
X_apo.ENSG00000015133.18.hsq,V(G)/Vp,0.051916,0.063842
X_apo.ENSG00000015153.14.hsq,V(G)/Vp,0.051767,0.054338
X_apo.ENSG00000015171.19.hsq,V(G)/Vp,0.061850,0.056202
X_apo.ENSG00000015479.18.hsq,V(G)/Vp,0.194145,0.082649
X_apo.ENSG00000015532.9.hsq,V(G)/Vp,0.108315,0.061200
X_apo.ENSG00000015676.17.hsq,V(G)/Vp,0.089581,0.056752
X_apo.ENSG00000017260.19.hsq,V(G)/Vp,0.077228,0.054745
X_apo.ENSG00000018189.12.hsq,V(G)/Vp,0.046807,0.053548
X_apo.ENSG00000018510.13.hsq,V(G)/Vp,0.077237,0.058867
X_apo.ENSG00000018699.11.hsq,V(G)/Vp,0.147772,0.064798
X_apo.ENSG00000020129.15.hsq,V(G)/Vp,0.106841,0.058994
X_apo.ENSG00000020426.10.hsq,V(G)/Vp,0.072528,0.062097
X_apo.ENSG00000020633.18.hsq,V(G)/Vp,0.056867,0.057071
X_apo.ENSG00000020922.12.hsq,V(G)/Vp,0.098615,0.057298
X_apo.ENSG00000021762.19.hsq,V(G)/Vp,0.072273,0.068940
X_apo.ENSG00000021776.10.hsq,V(G)/Vp,0.033959,0.050628
X_apo.ENSG00000023191.16.hsq,V(G)/Vp,0.123731,0.069941
X_apo.ENSG00000023228.13.hsq,V(G)/Vp,0.021060,0.045263
X_apo.ENSG00000023445.13.hsq,V(G)/Vp,0.025700,0.051118
X_apo.ENSG00000023516.8.hsq,V(G)/Vp,0.000001,0.048389
X_apo.ENSG00000023734.10.hsq,V(G)/Vp,0.034356,0.046656
X_apo.ENSG00000023892.10.hsq,V(G)/Vp,0.000001,0.037701
X_apo.ENSG00000025156.12.hsq,V(G)/Vp,0.032283,0.055550
X_apo.ENSG00000025293.16.hsq,V(G)/Vp,0.150696,0.073806
X_apo.ENSG00000025770.18.hsq,V(G)/Vp,0.000001,0.046148
X_apo.ENSG00000104824.16.hsq,V(G)/Vp,0.053808,0.063286
X_apo.ENSG00000025772.7.hsq,V(G)/Vp,0.134003,0.067838
X_apo.ENSG00000025796.13.hsq,V(G)/Vp,0.033525,0.056948
X_apo.ENSG00000025800.13.hsq,V(G)/Vp,0.030549,0.052920
X_apo.ENSG00000026025.15.hsq,V(G)/Vp,0.021162,0.046891
X_apo.ENSG00000026751.16.hsq,V(G)/Vp,0.115396,0.072374
X_apo.ENSG00000027075.14.hsq,V(G)/Vp,0.072539,0.069374
X_apo.ENSG00000027869.11.hsq,V(G)/Vp,0.067732,0.062438
X_apo.ENSG00000028203.17.hsq,V(G)/Vp,0.000001,0.057772
X_apo.ENSG00000028310.17.hsq,V(G)/Vp,0.018162,0.042033
X_apo.ENSG00000029639.10.hsq,V(G)/Vp,0.170861,0.070127
X_apo.ENSG00000029725.16.hsq,V(G)/Vp,0.045079,0.057490
X_apo.ENSG00000030066.13.hsq,V(G)/Vp,0.056490,0.051964
X_apo.ENSG00000030419.16.hsq,V(G)/Vp,0.030396,0.047032
X_apo.ENSG00000104976.11.hsq,V(G)/Vp,0.080366,0.069149
X_apo.ENSG00000031003.10.hsq,V(G)/Vp,0.122791,0.068485
