module,variable,value
72,Before,170.7614213
72,Before,280.9450006
34,Before,159.9161505
34,Before,63.25564595
72,Before,166.0923059
72,Before,190.1536406
34,Before,94.35264643
34,Before,32.75486486
72,Before,276.0101239
34,Before,113.4729776
34,Before,36.77919062
72,Before,174.271233
34,Before,188.5801781
34,Before,60.03194113
34,Before,209.8914595
72,Before,283.0370398
72,Before,151.4369823
72,Before,212.668543
72,Before,283.1065495
34,Before,202.5255044
34,Before,61.46213796
72,Before,168.4277819
34,Before,103.1579644
34,Before,64.32016497
34,Before,60.38679961
34,Before,133.2844808
34,Before,199.766098
72,Before,147.4552932
72,Before,246.6568544
72,Before,107.7704902
34,Before,50.35516515
34,Before,223.7937394
34,Before,208.104914
72,Before,52.90319573
72,Before,124.8122094
66,Before,10.78829792
72,Before,128.451066
72,Before,84.92332104
72,Before,155.3580203
34,Before,138.6988655
72,Before,329.6944953
72,Before,28.59867697
34,Before,40.13804057
34,Before,329.6938693
34,Before,79.6438764
34,Before,73.75812769
34,Before,67.63302677
34,Before,76.96607953
34,Before,46.26805075
72,Before,241.4443027
72,Before,285.2678498
72,Before,57.28529197
72,Before,216.5030212
72,Before,185.7486087
34,Before,57.16411618
34,Before,58.6169958
72,Before,186.3541377
72,Before,158.8923296
72,Before,64.42754808
34,Before,178.6514974
34,Before,43.59044485
72,Before,267.5464186
34,Before,175.4345114
34,Before,153.1423106
34,Before,195.7195904
34,Before,245.2789625
72,Before,205.0054468
34,Before,71.8459294
72,Before,127.4488134
72,Before,194.9517494
34,Before,50.45304635
34,Before,77.42194518
72,Before,355.7147833
34,Before,127.8247067
72,Before,83.47902897
72,Before,359.526244
34,Before,85.12492092
72,Before,296.6320712
34,Before,59.93295317
72,Before,126.8782327
72,Before,255.6561896
34,Before,29.26500424
72,Before,197.7058107
72,Before,19.91504161
34,Before,65.89029112
72,Before,100.3367742
72,Before,83.08203253
34,Before,155.9499109
72,Before,189.1854623
34,Before,104.6979156
34,Before,101.1209361
72,Before,92.77900602
34,Before,125.3111428
72,Before,128.2465186
34,Before,103.6264444
72,Before,113.0220142
72,Before,107.184776
34,Before,75.20610783
34,Before,111.2265634
34,Before,120.4022607
34,Before,84.15283829
34,Before,14.4445
34,Before,95.35880948
72,Before,63.00927413
72,Before,39.24451795
34,Before,234.3282333
34,Before,71.27071902
72,Before,152.9483849
34,Before,173.7756393
34,Before,56.06901398
34,Before,90.64855317
72,Before,121.1990948
34,Before,137.5354171
34,Before,192.0921733
34,Before,69.95141237
72,Before,326.1699772
72,Before,163.0640217
72,Before,92.29498663
34,Before,187.6273215
34,Before,66.8802878
72,Before,47.52631473
72,Before,350.4228411
72,Before,105.9632058
72,Before,308.7066479
34,Before,129.8030865
34,Before,194.3319294
34,Before,38.16852785
34,Before,139.855317
34,Before,84.36561687
34,Before,40.61788885
34,Before,188.9825713
34,Before,56.71892967
34,Before,199.1329981
34,Before,42.82828986
34,Before,267.7985074
72,Before,150.7941898
34,Before,73.58276703
72,Before,120.4943441
34,Before,40.81470139
72,Before,55.90991795
34,Before,280.162162
72,Before,166.1580463
34,Before,34.88754964
34,Before,115.390981
72,Before,23.79960223
34,Before,214.4217368
72,Before,97.09581944
34,Before,199.146824
34,Before,310.9214298
72,Before,50.96086902
72,Before,61.9325969
34,Before,159.9788684
34,Before,111.8616792
72,Before,229.1541168
72,Before,81.98898603
34,Before,218.255281
34,Before,198.8067708
34,Before,20.82214243
34,Before,95.12204004
72,Before,251.3877027
34,Before,224.6892512
72,Before,47.06893994
34,Before,128.9964088
72,Before,153.4437337
34,Before,74.87509145
34,Before,78.64283003
34,Before,61.00424161
72,Before,136.8212205
34,Before,181.7769169
72,Before,80.69327633
34,Before,84.1558567
72,Before,139.0483047
72,Before,151.9479436
72,Before,188.2016497
34,Before,110.7354916
72,Before,228.8354603
72,Before,192.5176133
72,Before,28.00435429
34,Before,117.1115622
34,Before,29.92663199
72,Before,163.2308477
34,Before,98.75868836
72,Before,99.08844123
72,Before,362.3111359
34,Before,39.32249917
34,Before,71.38183939
34,Before,21.17934323
72,Before,170.3512776
34,Before,246.2144827
72,Before,219.7409767
34,Before,194.4426014
72,Before,237.685795
72,Before,190.0343494
34,Before,131.8989123
72,Before,210.8791515
72,Before,63.3458286
34,Before,64.21733942
72,Before,215.8833614
72,Before,129.2495076
72,Before,271.3518673
72,Before,161.3347861
34,Before,64.76081403
34,Before,84.35071943
34,Before,243.4971166
72,Before,142.984579
72,Before,311.5664508
34,Before,103.1622083
34,Before,59.91612456
72,Before,43.78793243
72,Before,199.647222
34,Before,41.91678399
34,Before,254.700444
72,Before,191.4369167
34,Before,82.66140759
72,Before,126.3481053
34,Before,201.0198002
72,Before,60.63295937
72,Before,85.36891264
34,Before,63.7871536
34,Before,36.08655504
72,Before,190.902067
34,Before,219.4766623
72,Before,209.9162534
34,Before,218.1605593
72,Before,82.78222311
72,Before,135.8651064
34,Before,115.5945161
34,Before,137.2806729
34,Before,203.281038
72,Before,140.8398058
72,Before,55.54723553
72,Before,158.6056396
34,Before,137.16647
72,Before,216.1780845
34,Before,95.06340794
72,Before,248.5697542
72,Before,103.9662948
34,Before,188.9009301
34,Before,130.5758279
34,Before,112.403529
34,Before,99.12113446
34,Before,203.7424865
34,Before,287.9830367
34,Before,161.9497601
72,Before,86.65099337
72,Before,243.2804902
34,Before,91.97027695
34,Before,117.2697919
34,Before,80.49058014
34,Before,54.02661249
72,Before,87.25513906
34,Before,15.47665704
34,Before,42.60478896
72,Before,186.8948621
34,Before,84.59975686
72,Before,127.426599
34,Before,204.6523272
34,Before,258.985008
72,Before,102.1601203
72,Before,75.12237818
72,Before,144.0643509
34,Before,132.4869569
72,Before,281.4579704
72,Before,219.9890417
34,Before,91.35249798
72,Before,191.8159369
72,Before,243.6884383
34,Before,192.1966527
72,Before,52.29405398
34,Before,69.36855583
72,Before,65.06064279
34,Before,102.0833529
72,Before,47.26138053
34,Before,147.6387373
34,Before,229.7217185
34,Before,68.59968844
34,Before,168.606928
72,Before,212.7521443
34,Before,156.2163556
34,Before,143.9977725
34,Before,39.79403114
72,Before,82.4564259
72,Before,43.39367236
34,Before,184.9077909
34,Before,8.790282151
34,Before,169.0229943
72,Before,171.5261756
34,Before,75.69293991
72,Before,276.0499767
34,Before,204.7958731
72,Before,259.2175909
34,Before,100.1177164
34,Before,216.5410843
34,Before,81.98100199
72,Before,75.54263099
34,Before,62.29472812
34,Before,255.3473821
34,Before,117.2330861
34,Before,123.8665932
34,Before,67.30386067
72,Before,52.76943877
34,Before,175.1905936
34,Before,92.21963383
34,Before,146.9931005
34,Before,85.24446366
72,Before,159.208126
34,Before,122.5362892
72,Before,190.4990613
72,Before,326.236284
34,Before,112.4256214
72,Before,221.1645882
34,Before,37.42049371
34,Before,70.41514608
72,Before,273.6023854
34,Before,27.25864624
72,Before,238.8201079
34,Before,133.7673874
72,Before,49.68960021
72,Before,71.98480759
34,Before,128.6326872
34,Before,81.07715753
66,Before,9.244387489
72,Before,44.93304624
34,Before,90.9724343
72,Before,114.2017065
34,Before,78.72113978
34,Before,125.7035107
34,Before,112.5790643
34,Before,117.6727843
34,Before,344.1562533
34,Before,40.79504228
72,Before,151.5883729
72,Before,20.15257203
34,Before,137.5048196
34,Before,48.62237192
72,Before,212.6990267
72,Before,261.5001932
72,Before,97.83447485
34,Before,61.93096533
34,Before,140.8127799
34,Before,188.5211867
72,Before,206.167949
72,Before,231.7471004
