gene,beta,t,p,se.beta.,p_corr,gene_symbol
ENSG00000000419.12,-0.414474376961277,-0.369265968510259,0.711940560060887,1.12242776834649,0.824739177583619,DPM1
ENSG00000000457.13,-0.299693827148185,-0.796292358293506,0.425888892987167,0.376361551165006,0.601311059426192,SCYL3
ENSG00000000938.12,-1.27671332073279,-1.77508255801967,0.0759273195994923,0.719241657220228,0.21705979657778,FGR
ENSG00000001036.13,1.42988990347647,3.00034862361747,0.0027061229751964,0.476574586106757,0.0403651020835762,FUCA2
ENSG00000001167.14,-0.205395376789262,-0.617063310504008,0.537212860933961,0.332859486689458,0.69630201300858,NFYA
ENSG00000001461.16,0.327637492043742,0.650585642297855,0.515335166181043,0.503603938885791,0.679780875621224,NIPAL3
ENSG00000001629.9,0.122654498032749,0.15216013395078,0.879064982956952,0.806088262727377,0.927184846140453,ANKIB1
ENSG00000001631.15,1.35906404125338,2.72902421941724,0.00636793343803785,0.498003656978755,0.0599390884184965,KRIT1
ENSG00000002016.17,0.118978839329213,0.15239155145246,0.878882473662289,0.780744327327944,0.927111757931275,RAD52
ENSG00000002330.13,2.40147729160282,2.87883171582453,0.00400350089103704,0.834184672345464,0.0493002538296276,BAD
ENSG00000002822.15,1.05942981921574,1.56047085887398,0.118693460199245,0.678916759765838,0.279545799704233,MAD1L1
ENSG00000002834.17,-0.173359581534012,-0.457331228642939,0.647447054975429,0.379067884886038,0.778370892884286,LASP1
ENSG00000002919.14,-0.488140295207021,-0.833664990829843,0.404497987091059,0.585535317635347,0.583432242898673,SNX11
ENSG00000003056.7,-0.0735954772449598,-0.247490415982617,0.804535902613487,0.297366978647484,0.884097755632405,M6PR
ENSG00000003393.14,0.0927980332363353,0.376529849185658,0.706534340927398,0.246455980679977,0.82091511320296,ALS2
ENSG00000003400.14,-0.264293140905169,-0.18239500699272,0.855277979285562,1.44901521846877,0.913010604920152,CASP10
ENSG00000003402.19,-0.976664424682205,-0.828950661734816,0.407160342446924,1.17819367275521,0.585570081541598,CFLAR
ENSG00000003509.15,-0.314379303753898,-0.553336380635608,0.580050610211156,0.568152239317386,0.727305840915504,NDUFAF7
ENSG00000003756.16,-1.81055974378479,-1.09942093563009,0.271621980604651,1.64683033141181,0.459948800490382,RBM5
ENSG00000004059.10,-0.346346697578491,-0.308609360256003,0.757627802688125,1.12228189479147,0.855315819927235,ARF5
ENSG00000004139.13,0.788619210595038,2.20854199500094,0.0272385144491648,0.357076846344823,0.125173658042719,SARM1
ENSG00000004142.11,1.42639277335311,2.42864362770317,0.0151802170433158,0.587320740302308,0.0914049980644949,POLDIP2
ENSG00000004455.16,8.79198652445912,2.96993154533358,0.00298868118878078,2.96033305490602,0.043088574392475,AK2
ENSG00000004487.15,0.0313004548239682,0.103753573346528,0.917367856832927,0.301680740377272,0.952977975339952,KDM1A
ENSG00000004534.14,-0.114244757816277,-0.288063189352802,0.773306822903094,0.396596170697662,0.866065189828856,RBM6
ENSG00000004660.14,-1.58256788583955,-3.20126929161121,0.00137429713788441,0.494356376074516,0.0306118452002864,CAMKK1
ENSG00000004700.15,-3.43733747744144,-1.95105901567072,0.0510895157928249,1.76178037149726,0.175674960553223,RECQL
ENSG00000004766.15,1.95889140723799,3.81615678037676,0.000136704146940575,0.51331523309286,0.0132772980830523,VPS50
ENSG00000004776.12,0.330391442567059,0.244565804775269,0.806799749190306,1.35093065390174,0.885997471653401,HSPB6
ENSG00000004779.9,2.7591405555617,3.57431876104293,0.000353485055860754,0.771934665042753,0.0178539196258297,NDUFAB1
ENSG00000004864.13,0.692374141760312,0.782322437963656,0.434051333447036,0.885024010767894,0.607336098092822,SLC25A13
ENSG00000004897.11,1.78029971722057,1.61378198261841,0.106619402090301,1.10318477737122,0.262194079194437,CDC27
ENSG00000004975.11,1.48663423016435,2.87267310262411,0.00408228014724176,0.517509015838365,0.0498952121280041,DVL2
ENSG00000005007.12,-0.455271133915161,-0.641694664712782,0.521092280708707,0.709482498376291,0.683627499539493,UPF1
ENSG00000005020.12,-0.95274217045671,-1.79680891748856,0.0724086754968752,0.530241229984755,0.211241412056969,SKAP2
ENSG00000005059.15,1.39490159168315,3.47172049090459,0.000520230307866347,0.401789716464098,0.0213590648340736,MCUB
ENSG00000005075.15,0.0145578840179823,0.0139134103316652,0.988899455893268,1.04632032484878,0.993901491451743,POLR2J
ENSG00000005100.12,0.247913694132328,0.307040721025913,0.758821430374747,0.807429364105112,0.855921307622425,DHX33
ENSG00000005156.11,1.05684151512761,1.3006428824391,0.193423161433186,0.812553183811458,0.375252847423919,LIG3
ENSG00000005175.9,-0.60927099123791,-0.815533901215147,0.414794271488423,0.747082359580755,0.592594258412194,RPAP3
ENSG00000005194.14,0.602303074004325,2.26689063424723,0.023427014816164,0.26569569122788,0.115027961481126,CIAPIN1
ENSG00000005206.16,1.76495106809325,1.99110247562979,0.0465080877824059,0.886419001380123,0.166895149364646,SPPL2B
ENSG00000005238.19,-0.922281086739646,-1.27490037618069,0.202386448800502,0.723414240022887,0.386206926168942,FAM214B
ENSG00000005339.14,-0.782765257873142,-1.25785927475407,0.208484244111995,0.622299547798132,0.392658112933102,CREBBP
ENSG00000005379.15,-0.272119703926102,-0.61509886067192,0.538509253742033,0.442399947918689,0.69765104870962,TSPOAP1
ENSG00000005436.13,2.31966528921325,2.62108041636818,0.00878394256232988,0.885003479758711,0.0700031680021199,GCFC2
ENSG00000005448.16,2.07186240878419,1.74228994949629,0.0815012535624104,1.18916051222311,0.224663562956504,WDR54
