gene_id,gene,module,kTotal_output
ENSG00000100796.17,PPP4R3A,34,196.2510709
ENSG00000101019.21,UQCC1,34,193.6308276
ENSG00000101158.13,NELFCD,34,229.8824603
ENSG00000101166.15,PRELID3B,34,159.5593132
ENSG00000101266.17,CSNK2A1,34,196.9844491
ENSG00000101361.16,NOP56,34,172.5451965
ENSG00000101365.20,IDH3B,34,165.9381423
ENSG00000101391.20,CDK5RAP1,34,256.8179739
ENSG00000101442.9,ACTR5,34,195.3087872
ENSG00000101452.14,DHX35,34,192.2878323
ENSG00000101557.14,USP14,34,159.5798601
ENSG00000102753.9,KPNA3,34,165.3920306
ENSG00000102974.14,CTCF,34,163.2476001
ENSG00000103018.16,CYB5B,34,198.4776485
ENSG00000103047.7,TANGO6,34,175.2660451
ENSG00000103064.13,SLC7A6,34,179.8260233
ENSG00000103091.14,WDR59,34,189.6099136
ENSG00000103275.19,UBE2I,34,180.7120509
ENSG00000103423.13,DNAJA3,34,251.0948706
ENSG00000103932.11,RPAP1,34,174.5714024
ENSG00000104228.12,TRIM35,34,164.8905012
ENSG00000104299.14,INTS9,34,205.9306616
ENSG00000104365.13,IKBKB,34,176.4534168
ENSG00000104980.7,TIMM44,34,162.6505843
ENSG00000105127.8,AKAP8,34,231.0717086
ENSG00000105176.17,URI1,34,238.9595145
ENSG00000105197.10,TIMM50,34,165.9749253
ENSG00000105298.13,CACTIN,34,222.0746323
ENSG00000105576.15,TNPO2,34,165.2422734
ENSG00000105618.13,PRPF31,34,171.336846
ENSG00000105726.16,ATP13A1,34,184.8346302
ENSG00000105819.13,PMPCB,34,180.1600963
ENSG00000105821.14,DNAJC2,34,174.0429408
ENSG00000106100.10,NOD1,34,173.5116128
ENSG00000106344.8,RBM28,34,212.0566879
ENSG00000106609.16,TMEM248,34,192.3779102
ENSG00000106723.16,SPIN1,34,169.8796688
ENSG00000107164.15,FUBP3,34,183.9531532
ENSG00000107404.19,DVL1,34,181.4716013
ENSG00000107581.12,EIF3A,34,172.8307398
ENSG00000107625.12,DDX50,34,181.1563968
ENSG00000107651.12,SEC23IP,34,191.0070629
ENSG00000107672.14,NSMCE4A,34,167.5289961
ENSG00000107937.18,GTPBP4,34,249.5151584
ENSG00000107951.14,MTPAP,34,170.6753194
ENSG00000108021.19,FAM208B,34,161.7539512
ENSG00000108433.16,GOSR2,34,159.4073297
ENSG00000108443.13,RPS6KB1,34,190.8449322
ENSG00000108559.11,NUP88,34,169.7002672
ENSG00000108578.14,BLMH,34,186.2079742
ENSG00000108591.9,DRG2,34,233.8912361
