gene_id,gene,module,kTotal_input
ENSG00000079332.14,SAR1A,34,215.5509384
ENSG00000079387.13,SENP1,34,287.7179611
ENSG00000079785.14,DDX1,34,165.8043397
ENSG00000079974.17,RABL2B,34,192.4084242
ENSG00000079999.13,KEAP1,34,172.79844
ENSG00000081014.10,AP4E1,34,208.1655887
ENSG00000081154.11,PCNP,34,179.6186614
ENSG00000081307.12,UBA5,34,160.5678166
ENSG00000081721.11,DUSP12,34,207.8313473
ENSG00000081791.8,KIAA0141,34,237.4587901
ENSG00000082153.17,BZW1,34,184.7431103
ENSG00000082213.17,C5orf22,34,271.9888875
ENSG00000083093.9,PALB2,34,168.9694605
ENSG00000083097.14,DOPEY1,34,198.0355829
ENSG00000083544.13,TDRD3,34,181.9110893
ENSG00000084090.13,STARD7,34,201.8710883
ENSG00000084092.6,NOA1,34,208.0364557
ENSG00000084463.7,WBP11,34,181.3715813
ENSG00000084652.15,TXLNA,34,248.0828749
ENSG00000085377.13,PREP,34,205.2611577
ENSG00000085415.15,SEH1L,34,169.6420842
ENSG00000085449.14,WDFY1,34,159.687261
ENSG00000085511.19,MAP3K4,34,271.2349631
ENSG00000085721.12,RRN3,34,204.0884126
ENSG00000085760.14,MTIF2,34,253.5957311
ENSG00000085788.13,DDHD2,34,170.4259179
ENSG00000085978.21,ATG16L1,34,177.3301754
ENSG00000085998.13,POMGNT1,34,193.8221412
ENSG00000086102.18,NFX1,34,290.4894912
ENSG00000086189.9,DIMT1,34,261.6722555
ENSG00000086475.14,SEPHS1,34,162.2373486
ENSG00000086619.13,ERO1B,34,170.5756403
ENSG00000087111.20,PIGS,34,164.3688669
ENSG00000087263.16,OGFOD1,34,192.658056
ENSG00000087269.15,NOP14,34,239.0553764
ENSG00000087470.17,DNM1L,34,252.1521122
ENSG00000088205.12,DDX18,34,286.84222
ENSG00000088247.17,KHSRP,34,223.0119166
ENSG00000088876.11,ZNF343,34,174.8648816
ENSG00000089006.16,SNX5,34,198.0134042
ENSG00000089022.13,MAPKAPK5,34,287.5995876
ENSG00000089053.12,ANAPC5,34,200.5691514
ENSG00000089094.18,KDM2B,34,207.774313
ENSG00000089154.10,GCN1,34,246.0794479
ENSG00000090470.14,PDCD7,34,264.1602882
ENSG00000090581.9,GNPTG,34,185.5483347
ENSG00000090615.14,GOLGA3,34,203.9906829
ENSG00000090905.18,TNRC6A,34,273.3167698
ENSG00000091947.9,TMEM101,34,171.7901248
ENSG00000092201.9,SUPT16H,34,277.8498257
ENSG00000092439.13,TRPM7,34,264.808779
ENSG00000094880.10,CDC23,34,262.810536
ENSG00000095319.14,NUP188,34,169.0104623
ENSG00000099381.17,SETD1A,34,159.9310963
ENSG00000099821.13,POLRMT,34,203.7047727
ENSG00000099899.14,TRMT2A,34,190.9515718
ENSG00000099904.15,ZDHHC8,34,192.4357538
ENSG00000099949.18,LZTR1,34,167.7123236
ENSG00000100023.18,PPIL2,34,252.8024911
ENSG00000100099.20,HPS4,34,179.7614193
ENSG00000100105.17,PATZ1,34,182.6165286
ENSG00000100138.13,SNU13,34,195.9607557
ENSG00000100150.16,DEPDC5,34,239.355536
ENSG00000100220.11,RTCB,34,181.850029
ENSG00000100227.17,POLDIP3,34,264.3820601
ENSG00000100239.15,PPP6R2,34,235.8693186
ENSG00000100281.13,HMGXB4,34,176.1886573
ENSG00000100324.13,TAB1,34,174.282337
ENSG00000100335.13,MIEF1,34,231.4107122
ENSG00000100353.17,EIF3D,34,197.6691053
ENSG00000100395.14,L3MBTL2,34,220.8032891
ENSG00000100403.11,ZC3H7B,34,241.7128281
ENSG00000100426.6,ZBED4,34,171.7860996
ENSG00000100564.8,PIGH,34,192.5122115
ENSG00000100650.15,SRSF5,34,159.4616693
ENSG00000100726.14,TELO2,34,160.8510651
ENSG00000100796.17,PPP4R3A,34,329.8060801
ENSG00000100813.14,ACIN1,34,213.4188944
ENSG00000100941.8,PNN,34,167.167195
ENSG00000101019.21,UQCC1,34,207.3279262
ENSG00000101158.13,NELFCD,34,231.0472185
ENSG00000101166.15,PRELID3B,34,251.9679206
ENSG00000101181.17,MTG2,34,167.3639915
ENSG00000101191.16,DIDO1,34,262.1862949
ENSG00000101266.17,CSNK2A1,34,251.1259943
ENSG00000101361.16,NOP56,34,172.924864
ENSG00000101365.20,IDH3B,34,166.7897702
ENSG00000101391.20,CDK5RAP1,34,258.2698796
ENSG00000101442.9,ACTR5,34,195.8646536
ENSG00000101452.14,DHX35,34,202.0690411
ENSG00000101557.14,USP14,34,177.7084406
ENSG00000102753.9,KPNA3,34,263.1936659
ENSG00000102974.14,CTCF,34,211.5489907
ENSG00000103018.16,CYB5B,34,202.1251805
ENSG00000103047.7,TANGO6,34,176.9316026
ENSG00000103061.12,SLC7A6OS,34,192.5769034
ENSG00000103064.13,SLC7A6,34,187.3613811
